,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
33,34,393.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.16694102577707837,0.16694102577707837,0.8330589742229216,0.4046315828532141,0.5953684171467859,0.8330589742229216,-0.8330589742229216,0.0,0.0,0.9721306939124967
34,35,488.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5224233626521615,0.7244308137738442,0.2755691862261558,0.47757663734783845,0.5224233626521615,0.0,0.0,-0.47757663734783845,0.4775766373478385,0.7270738301552081
35,36,443.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4472310259713664,0.5527689740286337,0.4472310259713664,0.15797849778562123,0.8420215022143787,-0.5527689740286337,0.5527689740286337,0.0,0.0,0.799984409408599
36,37,555.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8171484840119183,0.1828515159880818,0.8171484840119183,0.419582683571376,0.5804173164286239,-0.1828515159880818,0.1828515159880817,0.0,0.0,0.3322683550770237
37,38,386.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5189080064841303,0.0,1.0,0.4810919935158698,0.5189080064841303,0.0,0.0,-0.4810919935158698,0.48109199351586973,0.7307344808066658
38,39,365.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.38243821527598215,0.38243821527598215,0.6175617847240178,0.1591413492385128,0.8408586507614872,0.6175617847240178,-0.6175617847240178,0.0,0.0,0.8537410114965215
39,40,533.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5801439026442823,0.7957155450854905,0.20428445491450947,0.4198560973557177,0.5801439026442823,0.0,0.0,-0.4198560973557177,0.4198560973557177,0.6634330522246615
40,41,424.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8611149910625124,0.569529694501772,0.43047030549822796,0.13888500893748762,0.8611149910625124,0.0,0.0,-0.13888500893748762,0.13888500893748756,0.2584809721674091
41,42,324.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5163480699538882,0.5163480699538882,0.4836519300461119,0.0,1.0,0.48365193004611184,-0.4836519300461119,0.0,0.0,0.7333846706548947
42,43,463.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.15998815558507123,0.8400118444149287,0.15998815558507123,0.38243821527598215,0.6175617847240178,-0.8400118444149287,0.8400118444149287,0.0,0.0,0.974403790072487
43,44,331.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7221308604211603,0.27786913957883974,0.7221308604211603,0.4723584535450074,0.5276415464549926,-0.27786913957883974,0.27786913957883974,0.0,0.0,0.47852702042739476
44,45,358.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0919168690818433,0.0919168690818433,0.9080831309181567,0.4935008209324384,0.5064991790675616,0.9080831309181567,-0.9080831309181567,0.0,0.0,0.9915512891781912
45,46,374.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49847188981915297,0.699613428153463,0.30038657184653705,0.49847188981915297,0.5015281101808471,0.0,0.0,0.5015281101808471,-0.5015281101808471,0.7515257750601223
46,47,469.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1659014517201453,0.5469338217372013,0.45306617826279877,0.8340985482798547,0.1659014517201453,0.0,0.0,-0.8340985482798547,0.8340985482798546,0.9724767083171483
47,48,400.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48896475230531145,0.5110352476946886,0.48896475230531145,0.2759130689352498,0.7240869310647502,-0.5110352476946886,0.5110352476946886,0.0,0.0,0.7609134710030054
48,49,336.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.16904633609099462,0.16904633609099462,0.8309536639090054,0.44731188090140006,0.5526881190985999,0.8309536639090054,-0.8309536639090054,0.0,0.0,0.9714233362542105
49,50,259.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7251272334366906,0.7251272334366906,0.2748727665633094,0.48761178137003397,0.5123882186299661,0.2748727665633094,-0.2748727665633094,0.0,0.0,0.47419049532845114
50,51,455.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09092569306781628,0.9090743069321837,0.09092569306781628,0.49708723781661973,0.5029127621833803,-0.9090743069321837,0.9090743069321837,0.0,0.0,0.9917325183401373
51,52,438.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4993151409584904,0.3007144448735902,0.6992855551264098,0.4993151409584904,0.5006848590415096,0.0,0.0,0.5006848590415096,-0.5006848590415096,0.7506843900096029
52,53,394.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5468567310607547,0.4531432689392453,0.5468567310607547,0.8343774889520541,0.1656225110479459,-0.4531432689392453,0.4531432689392453,0.0,0.0,0.7009477156935453
53,54,397.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.850103863316605,0.14989613668339496,0.850103863316605,0.5786200287454781,0.4213799712545219,-0.14989613668339496,0.14989613668339496,0.0,0.0,0.27732342157418294
54,55,369.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,1.0,0.518485421788744,0.48151457821125604,1.0,-1.0,0.0,0.0,1.0
55,56,440.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3307919304070963,0.6692080695929037,0.3307919304070963,0.504346358353722,0.495653641646278,-0.6692080695929037,0.6692080695929037,0.0,0.0,0.8905766987775467
56,57,387.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.22136862918464306,0.22136862918464306,0.7786313708153569,0.5010219312902274,0.49897806870977257,0.7786313708153569,-0.7786313708153569,0.0,0.0,0.950995930012912
57,58,427.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.25756497422753555,0.7424350257724645,0.25756497422753555,0.500240280132689,0.4997597198673111,-0.7424350257724645,0.7424350257724645,0.0,0.0,0.9336602840511689
58,59,370.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5000564955224652,0.24559151537711582,0.7544084846228842,0.5000564955224652,0.4999435044775347,0.0,0.0,0.4999435044775348,-0.4999435044775347,0.7499435012857907
59,60,322.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8346227230593875,0.4401825689976018,0.5598174310023982,0.8346227230593875,0.1653772769406125,0.0,0.0,0.16537727694061255,-0.1653772769406125,0.303404910152933
60,61,397.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4859355121075045,0.4859355121075045,0.5140644878924955,1.0,0.0,0.5140644878924955,-0.5140644878924955,0.0,0.0,0.7638666780728173
61,62,293.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.829951615696306,0.829951615696306,0.17004838430369396,0.6175617847240178,0.38243821527598215,0.17004838430369396,-0.17004838430369396,0.0,0.0,0.3111803156030911
62,63,292.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0.5276415464549926,0.4723584535450074,0.0,0.0,0.0,0.0,0.0
63,64,299.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0.5064991790675616,0.4935008209324384,0.0,0.0,0.0,0.0,0.0
64,65,415.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.0,1.0,0.0,0.5015281101808471,0.49847188981915297,-1.0,1.0,0.0,0.0,1.0
65,66,386.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5003592947202307,0.3307919304070963,0.6692080695929037,0.5003592947202307,0.49964070527976934,0.0,0.0,0.49964070527976934,-0.49964070527976934,0.7496405761870734
66,67,346.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5397848053020952,0.46021519469790484,0.5397848053020952,0.8347228865905421,0.165277113409458,-0.46021519469790484,0.46021519469790484,0.0,0.0,0.7086323639649793
67,68,349.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.42129876012888173,0.1522354726567976,0.8477645273432024,0.5787012398711182,0.42129876012888173,0.0,0.0,-0.5787012398711182,0.5787012398711182,0.8225073547138669
68,69,373.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1914297002659473,0.41823236300365724,0.5817676369963427,0.1914297002659473,0.8085702997340527,0.0,0.0,0.8085702997340527,-0.8085702997340527,0.9633546698560895
69,70,508.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.26746853031887174,0.4807745013240886,0.5192254986759114,0.7325314696811283,0.26746853031887174,0.0,0.0,-0.7325314696811283,0.7325314696811283,0.9284605852890628
