,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
102,103,449.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41742399590648205,0.41742399590648205,0.582576004093518,0.1842209800489356,0.8157790199510644,0.582576004093518,-0.582576004093518,0.0,0.0,0.8257572076414652
103,104,396.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4263471415035574,0.8232246046859213,0.17677539531407876,0.4263471415035574,0.5736528584964427,0.0,0.0,0.5736528584964427,-0.5736528584964427,0.8182281149317456
104,105,363.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.42461052011881606,0.5753894798811839,0.42461052011881606,0.8259322215106522,0.17406777848934796,-0.5753894798811839,0.5753894798811839,0.0,0.0,0.8197059062044284
105,106,395.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5760210092300475,0.17459473450820456,0.8254052654917954,0.5760210092300475,0.4239789907699525,0.0,0.0,0.4239789907699525,-0.4239789907699525,0.6681997969255975
106,107,570.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12865111705869597,0.42410189892609507,0.5758981010739049,0.8713488829413041,0.12865111705869597,0.0,0.0,-0.8713488829413041,0.8713488829413041,0.9834488900795497
107,108,478.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2643999103226089,0.48229739233654184,0.5177026076634581,0.2643999103226089,0.7356000896773911,0.0,0.0,0.7356000896773911,-0.7356000896773911,0.9300926874213964
108,109,565.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7767913615870135,0.4958710124014674,0.5041289875985326,0.7767913615870135,0.22320863841298655,0.0,0.0,0.22320863841298655,-0.22320863841298655,0.3965951805637937
109,110,380.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.06772986703145947,0.4990369476117336,0.5009630523882664,0.9322701329685406,0.06772986703145947,0.0,0.0,-0.9322701329685406,0.9322701329685406,0.9954126651119009
110,111,376.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49977537595344795,0.49977537595344795,0.5002246240465521,0.28288570098497856,0.7171142990150214,0.500224624046552,-0.5002246240465521,0.0,0.0,0.7502245735905897
111,112,395.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.44935987594937177,0.8482131000241628,0.1517868999758371,0.44935987594937177,0.5506401240506282,0.0,0.0,0.5506401240506282,-0.5506401240506282,0.7980757018867652
112,113,943.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2,1.0,0,0.41878215916098,0.5812178408390201,0.41878215916098,0.8329151476873775,0.16708485231262243,-0.5812178408390201,0.5812178408390201,0.0,0.0,0.8246215031684677
113,114,570.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.1763632776770187,0.1763632776770187,0.8236367223229814,0.5776497193123866,0.4223502806876133,0.8236367223229812,-0.8236367223229814,0.0,0.0,0.9688959942870188
114,115,517.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.24992225247997846,0.7500777475200215,0.24992225247997846,0.5181111582070588,0.4818888417929412,-0.7500777475200215,0.7500777475200215,0.0,0.0,0.9375388677153339
115,116,369.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7723982975569643,0.22760170244303568,0.7723982975569643,0.504224278651691,0.495775721348309,-0.22760170244303568,0.22760170244303568,0.0,0.0,0.4034008699311032
116,117,356.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5009852782424581,0.06906288731567176,0.9309371126843282,0.5009852782424581,0.49901472175754186,0.0,0.0,0.4990147217575419,-0.49901472175754186,0.7490137509843268
117,118,360.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.15141977027271109,0.399487463776653,0.600512536223347,0.8485802297272889,0.15141977027271109,0.0,0.0,-0.8485802297272889,0.8485802297272889,0.9770720531705593
118,119,379.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.257491047540079,0.4765562778403582,0.5234437221596417,0.257491047540079,0.7425089524599209,0.0,0.0,0.742508952459921,-0.7425089524599209,0.9336983604367127
119,120,387.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5054680553227431,0.4945319446772569,0.5054680553227431,0.774694953666037,0.22530504633396298,-0.4945319446772569,0.4945319446772569,0.0,0.0,0.7445020450482444
