,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
755,756,342.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.5109927015734852,0.8959020709789044,0.10409792902109555,0.4890072984265148,0.5109927015734852,0.0,0.0,-0.4890072984265148,0.4890072984265148,0.7388864589386311
756,757,0.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0,0.8959020709789044,0.8959020709789044,0.10409792902109555,0.2601743274489825,0.7398256725510175,-0.8959020709789044,0.8959020709789045,0.0,0.0,0.9891636211735189
757,758,0.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3.0,1,0.2601743274489825,0.47666102229374924,0.5233389777062507,0.2601743274489825,0.7398256725510175,0.0,0.0,-0.2601743274489825,0.2601743274489825,0.45265797423443466
758,759,429.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,1,0.8615753161939719,0.47666102229374924,0.5233389777062507,0.13842468380602818,0.8615753161939719,0.0,0.0,-0.13842468380602818,0.13842468380602813,0.2576879745252574
759,760,360.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.5233389777062507,0.47666102229374924,0.5233389777062507,0.07364828526579446,0.9263517147342055,-0.47666102229374924,0.4766610222937493,0.0,0.0,0.7261163144133764
760,761,323.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.2536055418711852,0.2536055418711852,0.7463944581288147,0.07364828526579446,0.9263517147342055,0.7463944581288148,-0.7463944581288147,0.0,0.0,0.9356842291322225
761,762,347.3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.07364828526579446,0.6028838899129554,0.39711611008704456,0.07364828526579446,0.9263517147342055,0.0,0.0,0.9263517147342055,-0.9263517147342055,0.9945759300774082
762,763,326.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.39711611008704456,0.6028838899129554,0.39711611008704456,0.5071383696364162,0.49286163036358377,-0.6028838899129554,0.6028838899129554,0.0,0.0,0.8422987951093343
763,764,330.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.32076190088091466,0.32076190088091466,0.6792380991190853,0.5071383696364162,0.49286163036358377,0.6792380991190854,-0.6792380991190853,0.0,0.0,0.8971118029432623
764,765,301.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.5071383696364162,0.6386141552801592,0.3613858447198408,0.5071383696364162,0.49286163036358377,0.0,0.0,0.49286163036358377,-0.49286163036358377,0.7428106740425177
765,766,385.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.7377749910525638,0.6386141552801592,0.3613858447198408,0.7377749910525638,0.26222500894743617,0.0,0.0,0.26222500894743617,-0.26222500894743617,0.45568806257738936
766,767,316.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.8604842595136544,0.6386141552801592,0.3613858447198408,0.8604842595136544,0.13951574048634569,0.0,0.0,0.13951574048634563,-0.13951574048634569,0.2595668391292379
767,768,412.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.07422877749755404,0.6386141552801592,0.3613858447198408,0.925771222502446,0.07422877749755404,0.0,0.0,-0.925771222502446,0.9257712225024459,0.9944900885912186
768,769,359.3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.5074472181474167,0.6386141552801592,0.3613858447198408,0.49255278185258333,0.5074472181474167,0.0,0.0,-0.49255278185258333,0.49255278185258333,0.7424973207944481
