α_v,α_s,decay,MSE
0.49,0.45,1.0,1.1085433462900657e7
0.01,0.45,0.29,1.1278876964746192e7
0.22,0.33,0.2,1.1120158958484415e7
0.01,0.1,0.51,1.1267585912095351e7
0.57,0.58,0.64,1.1080076912433416e7
0.15,0.73,0.17,1.1277511822879305e7
0.8,0.16,0.47,1.1198381967539808e7
0.26,0.5,0.75,1.122185100450202e7
0.55,0.86,0.26,1.122864044143576e7
0.59,0.73,0.2,1.112962734679702e7
0.48,0.21,0.6,1.1092050245079435e7
0.17,0.17,0.18,1.1015779640846912e7
0.85,0.39,0.66,1.116650825185287e7
0.46,0.07,0.58,1.1173934945936084e7
0.92,0.37,0.49,1.118159759819327e7
0.14,0.01,1.0,1.1172436423528079e7
0.41,0.23,0.71,1.1066287943118636e7
0.05,0.86,0.98,1.1269551429470379e7
0.3,0.69,0.08,1.1239502128451733e7
0.7,0.59,0.28,1.1027529929925915e7
0.87,0.89,0.93,1.112700707213e7
0.86,0.71,0.07,1.1058340941995028e7
0.63,0.41,0.71,1.1078414853377542e7
0.75,0.38,0.61,1.1126634638732266e7
0.26,0.95,0.57,1.1279151313472807e7
0.26,1.0,0.83,1.1278464244003631e7
0.75,0.88,0.33,1.1171218207412317e7
0.3,0.83,0.96,1.1275391032682508e7
0.92,0.69,0.44,1.1126319848081037e7
0.83,0.97,0.81,1.1237099701686984e7
0.71,0.54,0.91,1.10919515854739e7
0.29,0.25,0.37,1.1021617702032872e7
0.31,0.23,0.7,1.1050132123449005e7
0.23,0.62,0.01,1.1233515026803007e7
0.05,0.19,0.95,1.1260311814418357e7
0.72,0.22,0.24,1.1133180700904602e7
0.89,0.28,0.45,1.1186087206295779e7
0.54,0.95,0.6,1.1264497849053515e7
0.79,0.58,0.66,1.1098692080511745e7
0.34,0.72,0.68,1.1252590497614538e7
0.91,0.41,0.62,1.1182103140775904e7
0.16,0.29,0.29,1.1167876476473756e7
0.7,0.36,0.98,1.1130997768628513e7
0.44,0.58,0.21,1.1117872606248388e7
0.9,0.06,0.9,1.124308650891795e7
0.94,0.65,0.63,1.1166126902591668e7
0.75,0.58,0.48,1.1064112183448661e7
0.01,0.02,0.45,1.1180273770307695e7
0.02,0.79,0.42,1.1270960646776725e7
0.96,0.01,0.32,1.1255283698658183e7
0.02,0.48,0.22,1.1278959133088723e7
0.76,0.59,0.11,1.1027912633315613e7
0.79,0.51,0.07,1.1047743909167714e7
0.7,0.6,0.67,1.1068360507555677e7
0.54,0.81,0.03,1.119733041168245e7
0.37,0.07,0.39,1.1154529311256168e7
0.53,0.58,0.78,1.1106141651831757e7
0.21,0.36,0.81,1.1194746374520544e7
0.01,0.28,0.68,1.127868709134109e7
0.22,0.51,0.4,1.1234090896234773e7
0.51,0.47,0.28,1.1023775343792073e7
0.85,0.22,0.13,1.1140132779219825e7
0.81,0.52,0.69,1.1124128719247505e7
0.26,0.14,0.66,1.1062425356299061e7
0.84,0.52,0.01,1.1166881997514535e7
0.79,0.96,0.04,1.1231007709832927e7
0.68,0.1,0.33,1.1194063236665841e7
0.94,0.55,0.41,1.115530442720252e7
0.66,0.02,0.14,1.1235001739574024e7
0.98,0.47,0.16,1.1135084576766176e7
0.63,0.33,0.4,1.107486574359677e7
0.96,0.26,0.05,1.1109521968065333e7
0.81,0.97,1.0,1.1242422618134718e7
0.17,0.19,0.5,1.1077051024961993e7
0.97,0.49,0.95,1.1208202551298577e7
0.21,0.88,0.05,1.12777553657839e7
0.32,0.04,0.23,1.1179122779064117e7
0.53,0.18,0.29,1.1104099761473658e7
0.96,0.34,0.91,1.1216302395930348e7
0.32,0.49,0.61,1.1173617171081677e7
0.12,0.5,0.51,1.1271463182393376e7
0.11,0.86,0.24,1.1277690097229559e7
0.28,0.01,0.29,1.1205068275742665e7
0.52,0.1,0.66,1.1168862296487352e7
0.97,0.04,0.37,1.1249027788387408e7
0.64,0.75,0.41,1.112706561529717e7
0.27,0.26,0.31,1.1027283400242455e7
0.02,0.36,0.86,1.1279114084261518e7
0.94,0.39,0.36,1.1170291632308017e7
0.28,0.16,0.18,1.1008552376040496e7
