P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,subject
-79.6329147752068,24.21073117773901,17.853133404307552,1.6742461510665765,396.52467532347674,391.1666485866402,381.9786483731912,1.2076636517807788e-25,1.887775341998809e-05,0.00021172964339791773,0.8841119223481988,0.0,0.0,0.0,0.12277933291807765,-7512.1317534777445,15028.263506955489,15038.572737669316,7330.718400996111,SR_Q_D_WOB,0.36394635642750894,0.7040954335951953,sub37
-60.053172432028475,10.046646453399584,7.738035249556358,-24.67845697740479,392.64738622850234,403.9735435314237,403.01380442453865,1.8267342530133318e-13,0.07161412791511948,0.10543050822376984,0.02545949541378798,0.0,0.0,0.0,0.0623295101789626,-7235.825751485828,14475.651502971656,14485.894007878145,6986.002111334408,SR_Q_D_WOB,0.3153786953220579,0.5677884060470868,sub38
-93.24679466134977,2.100278652676483,33.49560219674126,58.25214354201734,389.91112624992064,373.4794413854063,349.84188674363924,8.272189198485545e-65,0.6730128229064585,1.3168729167597028e-14,0.00013135662859525666,0.0,0.0,0.0,0.26558020618400524,-7319.685520241366,14643.371040482732,14653.667731970532,5831.691828565456,SR_Q_D_WOB,0.5329892875232104,0.9785343810123764,sub39
-45.19535533278185,-0.13813988869602326,-16.756684062139758,-0.6158100977477652,393.00749082824206,424.6768171969095,400.6115941842732,5.941224966910909e-19,0.974062022636391,4.45393314922913e-06,0.9488108448444854,0.0,0.0,0.0,0.11527365055328698,-7168.296877428536,14340.593754857073,14350.906108132034,4209.559889906055,SR_Q_D_WOB,0.37113049327473296,0.3906865906666108,sub40
-52.68830909842158,-8.837156622285153,-9.714758266687523,22.608259632309647,426.22477308037725,432.0019987351575,415.15572933243243,9.910263347848571e-42,0.04394245698206952,0.01028508137584534,0.08651706894889576,0.0,0.0,0.0,0.16331250950289722,-7193.983571746117,14391.967143492237,14402.27324676211,4538.324575605229,SR_Q_D_WOB,0.6377554302886865,0.7706215108312902,sub09
-47.48141848706563,9.574260118863936,14.304692416061744,71.41147585853662,415.677487960078,410.33671087763946,389.7412820583458,1.091385909709186e-12,0.07256613849216667,0.0016790464547629808,0.020733754886258216,0.0,0.0,0.0,0.06750886697403803,-7434.798695595096,14873.597391190195,14883.905058793353,6555.624571680601,SR_Q_D_WOB,0.3729096286499952,0.5242322225612105,sub10
-45.73004330556592,-7.832972417261131,-7.445420315947066,-7.328212943827295,430.1100182384175,426.6088897420282,411.9941074852737,1.4616417696779747e-18,0.2692844295089677,0.2246197966433184,0.4952242521672657,0.0,0.0,6.70298990565e-313,0.06936053262397801,-7782.844204941121,15569.688409882241,15579.988243554504,11850.066026775903,SR_Q_D_WOB,0.8381942843375685,0.9116762484824872,sub11
-51.457485928966896,-0.5191738893272113,25.86352918725028,26.156568086913676,378.08629863606694,367.4756249295074,369.69326407397295,1.4651488532209889e-09,0.924315404237866,3.8619878011450316e-08,0.10068314357912657,0.0,0.0,0.0,0.05743840030769976,-7389.489988010776,14782.979976021552,14793.267211226961,6876.6217688191455,SR_Q_D_WOB,0.31783901242867296,1.0,sub12
-20.833055165389663,3.850899716843277,5.080150289092787,-10.338769800748976,325.16009795886936,339.09315570197515,334.8590143556106,3.5818492373035967e-10,0.2567336170488925,0.08078259945816575,0.19170975091065093,0.0,0.0,0.0,0.04171726552269417,-6863.816874954381,13731.633749908762,13741.941417511922,2684.4255454238896,SR_Q_D_WOB,0.5838891281989526,1.0,sub17
-141.83898177891444,6.475990318378475,-5.765740130526733,-33.91343369610455,429.9738107446889,457.3575244963634,430.6566879208695,0.013907145300726278,0.4525729369132821,0.4352102081075288,0.019666375860678938,5.5663443457668036e-254,0.0,5.899974357326823e-254,0.015975088820674332,-7953.362642208949,15910.725284417898,15921.009357567313,17095.276804044217,SR_Q_D_WOB,0.05369167935663574,0.9375202801309253,sub18
