P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,subject
-10.883252692839642,6.566107197571906,-1.1922834129233024,10.372478082223678,439.86831687220825,415.47296142791396,420.877420914384,0.0015707443457568535,0.40191036043552003,0.8573082208900973,0.37645957853497103,9.313922866707822e-291,0.0,3.27118816139849e-272,0.01985172928462153,-7044.8106953971055,14091.621390794211,14096.667167371092,12522.875595537616,SR_Q_WOB,1.0,sub43
-24.836074965433287,4.028559499598401,18.683982873852734,76.15354521265348,428.84857929863097,461.2915291300251,451.38055659338295,3.191768026026959e-11,0.5144888453261324,0.0003130547877619537,2.8948404745900774e-05,0.0,0.0,0.0,0.07643287812655986,-7439.205658201145,14880.41131640229,14885.545410123485,8323.888137761664,SR_Q_WOB,0.6080234157792344,sub44
-16.68101660115218,-2.6198918465565257,12.361007052781966,45.10011014905946,392.6060804669432,398.08163676002107,403.341751780306,4.0947986537416125e-14,0.532843847841669,0.0005176042489393986,1.0111663727884037e-05,0.0,0.0,0.0,0.07435540998774193,-6833.273853236942,13668.547706473884,13673.664100617978,3847.196453278559,SR_Q_WOB,0.8006709285779744,sub45
-17.595138762876953,-12.292600598211369,7.457314692470014,29.599747746204944,495.2653886728733,514.261536460245,501.56448115012495,3.4303945316139433e-05,0.08738067467063672,0.22111040775210095,0.17429068824678687,0.0,0.0,0.0,0.030207856688801327,-7610.848485452869,15223.696970905738,15228.827069415864,11489.975012522766,SR_Q_WOB,0.6419458530696139,sub46
-21.2998379956557,-3.1418867932957544,4.209986477936676,-13.997644126478345,425.8707371967734,389.697430056944,390.0818298519323,0.29833376192389816,0.5729899937195779,0.2927332388483532,0.24103377329727635,0.0,0.0,0.0,0.0515875407096652,-7012.706618540586,14027.413237081171,14032.533681453564,4916.5940639279215,SR_Q_WOB,0.003181083085994909,sub47
-25.583412524072585,-4.076648985537137,15.864397099622796,42.30516775659656,418.8270518406652,420.4021503079769,464.0102723032181,2.164755243057407e-09,0.5440985808638579,0.00494060848375536,0.03908026433418105,0.0,0.0,0.0,0.07515228379382066,-7482.232093160517,14966.464186321035,14971.590273594331,9812.72194538192,SR_Q_WOB,0.5389681284920425,sub48
-12.940407449194042,14.886140662389083,-15.857611959827006,9.603561942090195,456.4077442230731,442.0579457533398,435.974683124118,9.230939090182294e-05,8.430335528800558e-05,2.830311855531501e-05,0.6876279335879474,0.0,0.0,0.0,0.05318621909786125,-7112.16735999175,14226.334719983503,14231.477547384664,4476.766534256695,SR_Q_WOB,0.5121084376430198,sub05
-11.497288791241465,0.1355709502268816,12.083594581409384,10.736151724688556,366.2982236290316,366.0838030884064,371.4002785633674,2.449939010479432e-12,0.965979829388542,0.00014992210197513022,0.4657510210936178,0.0,0.0,0.0,0.050531188976457815,-6870.947872663818,13743.895745327636,13749.0354056636,3164.468833291319,SR_Q_WOB,0.9814383419904062,sub06
-41.200912012250534,10.259168381307749,54.63258225470639,24.637849257305284,404.8994107895937,444.82201797157614,459.7070719444674,0.0009393567119827117,0.10537279372396344,1.9272137733565663e-17,0.1480867556830478,0.0,0.0,0.0,0.10516797744012996,-7507.849374564449,15017.698749128898,15022.810261245395,12207.893911251429,SR_Q_WOB,0.14172233393196873,sub07
-18.683381640467182,30.18968189968009,5.9246216553812765,35.0443645373243,361.26714643385736,363.78044899935486,371.2087850200015,0.003524148452766535,4.403567556667762e-06,0.3654228033827108,0.014685100017932252,3.146323732832641e-276,3.550889803814476e-287,5.175306970845098e-302,0.030889346782345117,-7076.483039154506,14154.966078309011,14160.017933931967,12280.565091197675,SR_Q_WOB,0.4127623293359592,sub08
-16.688708764331633,9.805086390663293,11.092538049385617,33.64249269671798,401.39510305733484,385.6525529483729,390.10026674871085,1.4761752169450404e-16,0.004523364408656137,0.0013267865290689832,0.003408016986477017,0.0,0.0,0.0,0.08107346437241925,-6907.451190012267,13816.902380024534,13822.033278854831,3692.4476525545983,SR_Q_WOB,0.8592410672417947,sub21
