P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_error,subject
-23.009957835198822,-0.9947602369710058,-16.850396626568926,0.7829376386549818,392.95041404273263,426.3506034762906,401.06652683599737,7.069117320301663e-14,0.8182057507208406,4.800868891181411e-06,0.9355158542840512,0.0,0.0,0.0,0.09913529045775127,-7179.884043996938,14363.768087993876,14374.080441268838,4286.346789481853,AB_Q_E_WOB,0.4072063782371582,0.28644748350534177,sub40
-29.825826775381238,-6.9348608597977135,-10.412586326098312,29.87007286662571,426.95190529553565,433.5896140009727,414.1084376562204,9.454525176119409e-23,0.13154191492704395,0.007871732089022756,0.02862621809697915,0.0,0.0,0.0,0.10417300862210643,-7237.625145257813,14479.250290515625,14489.5563937855,4859.106532171662,AB_Q_E_WOB,0.5197609919811571,0.3178211751747537,sub09
-15.678136460909364,8.487007758341392,14.443505611596642,50.091264095354646,415.9169251230028,410.6627201388108,388.2689733865264,1.516361972482765e-07,0.11595979022020884,0.0016692341751668794,0.11025736825092763,0.0,0.0,0.0,0.0504099709498077,-7446.4188585195425,14896.837717039085,14907.145384642241,6675.833696492975,AB_Q_E_WOB,0.7354287721329101,1.0,sub10
-17.01298677418366,-9.305873770542073,-7.6651253148517595,-2.839080642855372,428.078190516106,423.69182151212976,409.77867424696734,0.003334756433691461,0.2120763270029573,0.22381657127812646,0.7968277615970054,3.420110126e-315,0.0,4.5569142765017405e-301,0.017488811607808685,-7817.394946181409,15638.789892362818,15649.089726035083,12510.561675725196,AB_Q_E_WOB,0.22397094992399652,0.0001,sub11
-31.92559828698901,2.0028771314576663,25.610047416307765,29.819833477762927,378.65386138282724,370.8793673709322,370.0347255974228,1.6398652490963455e-07,0.7207386891832552,5.8237296691046426e-08,0.061934512794640025,0.0,0.0,0.0,0.05055052716355568,-7394.098885945064,14792.197771890127,14802.485007095536,6926.873442345273,AB_Q_E_WOB,0.0417935956543439,0.14980849212325809,sub12
-9.487123612282254,4.10104944125133,4.79142038877902,-9.235393483617118,325.3616980220486,338.9824454191036,335.6447412916374,4.715688218420106e-05,0.23895749168022234,0.10252928775642596,0.2476204441156981,0.0,0.0,0.0,0.024402311221474186,-6875.268678325979,13754.537356651956,13764.845024255117,2732.9297119739167,AB_Q_E_WOB,0.4868641002180841,0.40981796119725866,sub17
-12.353530879841474,7.4336213720675435,-5.469442430932598,-39.53214398456807,429.5302097703432,458.20361400102297,430.21120757678847,0.0122281397144346,0.3921533983700791,0.4592532133776481,0.007385436826039869,1.2642073822040606e-253,0.0,1.8374305163830098e-253,0.016153312693635402,-7953.2481657480785,15910.49633149616,15920.780404645571,17092.180555033814,AB_Q_E_WOB,0.680425127314717,1.0,sub18
-11.470799478698213,-7.304386556546187,33.62220238143187,-28.131617882980066,394.7688572113543,382.9242509895958,402.2541199103602,0.0008194501604698773,0.30232704027688434,3.942662426922871e-08,0.005885656963594482,1.321585234946157e-293,0.0,1.0913497029642285e-296,0.040700257889506375,-7748.85343830407,15501.70687660814,15512.000420967044,11673.093062476435,AB_Q_E_WOB,0.9193920664346229,1.0,sub19
-21.93928081687748,1.4615730929158293,8.172658329932855,43.51329404123617,414.1544806395545,422.5614938522936,438.5348024123098,6.195478882919805e-10,0.8021288217951692,0.10081087907054467,0.0005077368271699426,0.0,0.0,0.0,0.05366921217793375,-7550.265205795327,15104.530411590657,15114.83807919381,7852.884190511736,AB_Q_E_WOB,0.60966923197488,0.18573827583520786,sub20
-16.066567873374563,7.451013922070332,-2.1840922405973067,35.19538052103747,427.4278458467065,438.2662602479087,423.5426028852723,1.4110889371481586e-08,0.19045325067920327,0.6549645197488058,0.10897833233972642,0.0,0.0,0.0,0.029818641404467664,-7476.638375331029,14957.276750662058,14967.571869204436,7533.3329046826575,AB_Q_E_WOB,0.8823596991092779,0.0001,sub41
-11.328987809731961,6.756210904271784,10.63124007610325,31.952280878490328,401.8264050741189,452.75545156101913,448.0949654760032,0.010075791454868371,0.3520637827144304,0.08229425721489961,0.021148043133914902,1.1501759085398015e-297,0.0,0.0,0.05480270279900745,-7674.109902453722,15352.219804907443,15362.494361781964,11644.807183509341,AB_Q_E_WOB,0.5655554963953212,1.0,sub42
-15.87931935042759,1.7698670044171267,-5.753144413784037,12.747688856202656,446.2030621608899,420.8919087159462,426.3482700804525,0.002624344824297525,0.8392033933910835,0.4411644736748255,0.3268244175556938,2.4114511768222696e-268,0.0,3.291855837612775e-252,0.014994739460227781,-8002.011345704248,16008.022691408496,16018.314660343924,17564.690373315338,AB_Q_E_WOB,0.5879717830791941,0.015249439072072013,sub43
-25.042450538459892,5.035154616086157,22.02572491137456,78.82867681435346,425.3345708622269,459.767156552397,448.06276388745795,4.55583061886003e-09,0.4132750974909064,2.284324255554609e-05,1.884583017591782e-05,0.0,0.0,0.0,0.07188370814768719,-7608.856119569406,15221.712239138811,15232.021469852642,8526.724937432395,AB_Q_E_WOB,0.4264698662067374,0.0001,sub44
-10.325495416592256,-2.553739682240936,11.568144084741528,18.11525254615572,391.06053569067495,396.179241145876,399.9506870415172,8.587841391097616e-08,0.5491085977585592,0.0015690796793021039,0.07278870943327287,0.0,0.0,0.0,0.0387242516838564,-7147.7548384640495,14299.509676928095,14309.81578019797,4221.592692966685,AB_Q_E_WOB,0.9937622451921376,1.0,sub45
-23.459831317108268,-11.487779071654543,8.273570468192055,1.9065973470718087,493.6378163589346,514.3393737930835,502.5191777331292,1.913341869989208e-05,0.10815580528174122,0.17271421151080865,0.9286982101645044,0.0,0.0,0.0,0.030377771702855605,-7783.043669619913,15570.087339239826,15580.390310167637,11628.926564344416,AB_Q_E_WOB,0.2937678357724789,1.0,sub46
