P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,subject
-33.114694229809125,-6.145832617522446,13.425901647595882,-5.8465822400955085,511.82205086319067,530.6497483213243,495.46855603489263,2.4276015364380656e-09,0.6012933885461165,0.1850511643496635,0.8913799965344908,3.7577936999129036e-286,3.570080833821132e-221,7.367928785171447e-275,0.03545452056687515,-8374.895665690403,16751.791331380806,16756.935738561126,32278.719326718165,SR_Q_WOB,0.940714778458694,sub36
-28.279025775452013,26.05378419344329,17.8690617950718,1.6143835401062248,396.9496530893325,389.99318182953346,381.6141854350148,2.2769813605474682e-15,6.4007043481435014e-06,0.0002719110915428426,0.8902981722589534,0.0,0.0,0.0,0.0899334447159702,-7535.657614572222,15073.315229144444,15078.469844501358,7605.203449143938,SR_Q_WOB,0.6017905578599646,sub37
-22.900279624738378,9.223463084660931,9.092170982336844,-21.570218309915944,391.44613042093437,404.68407630062745,402.55580134657794,2.1812761472249887e-09,0.10265547307000313,0.058797992179661765,0.05221477755147337,0.0,0.0,0.0,0.04821979805213972,-7245.0708449938475,14492.141689987695,14497.26294244094,7091.124838111379,SR_Q_WOB,0.4833016233840344,sub38
-34.58726487970143,-1.6908280918749234,31.88949087103591,64.38744359797936,390.9588281511868,377.81814646746926,350.7586071883783,1.2105089996951716e-28,0.7534493991527047,5.676682028533325e-12,7.556608288013318e-05,0.0,0.0,0.0,0.16274972693969336,-7403.028389019738,14808.056778039476,14813.205123783377,6648.221653314123,SR_Q_WOB,0.7016525089787194,sub39
-21.20286893327837,0.22459145784148005,-17.052862071147388,0.04705135661864368,392.3780606090123,424.3228740274284,400.79721355277235,2.2659375891409675e-15,0.9581557293442516,3.477767660811678e-06,0.9961106433594508,0.0,0.0,0.0,0.10390801086607382,-7176.479041552708,14354.958083105415,14360.114259742895,4263.638013588404,SR_Q_WOB,0.5826277476400636,sub40
-33.35974647957277,-6.941040184668893,-9.48263964830486,26.01601507203765,427.10068835135024,433.4165963437669,414.04022945587855,1.1828254170050464e-26,0.12734706173663446,0.014770650850776066,0.05485932337373303,0.0,0.0,0.0,0.11664052226004228,-7228.669511032443,14459.339022064883,14464.492073699825,4791.48077681809,SR_Q_WOB,0.4993939792466324,sub09
-17.68446322842562,8.630844481114462,14.467979908377126,71.99231126161001,416.04909715723664,411.0262011554817,389.8994204929962,1.4409821440018999e-07,0.11021615197415413,0.0016386714681833193,0.020861652832087324,0.0,0.0,0.0,0.05048362618134728,-7446.36925358901,14894.73850717802,14899.892340979597,6675.315883400834,SR_Q_WOB,0.5757816074019938,sub10
-24.98822085547116,-7.2193786960181905,-7.573195396897949,-3.148024567814545,429.5446082970923,425.8678454652377,410.524820512052,6.699346749944294e-12,0.31683284221143554,0.22226476527143266,0.7719386435498171,4.84e-322,0.0,2.4161299648981354e-307,0.04690561111062575,-7798.031554811256,15598.063109622512,15603.213026458645,12135.990180959423,SR_Q_WOB,0.8718236445352359,sub11
-27.229010194054624,2.852101364647364,25.8451906022962,30.49244079309177,377.8314736245207,369.5780608737799,369.0822652482615,4.072896240209546e-07,0.6145495927754553,4.5079662506856656e-08,0.056430029712879075,0.0,0.0,0.0,0.049223706730973205,-7394.982862454907,14791.965724909816,14797.109342512516,6936.553491131626,SR_Q_WOB,0.09934542391345128,sub12
-6.326790706333128,3.082563665556023,4.57692994421808,-9.014690431988829,325.47471559108806,338.38745279757507,335.81548985218035,3.64014637151424e-05,0.36921786208069696,0.11870341719126125,0.25883333534009345,0.0,0.0,0.0,0.02477916471708508,-6875.021604792005,13752.04320958401,13757.197043385586,2731.874036974557,SR_Q_WOB,1.0,sub17
0.12844964212239174,2.9256224574381555,-5.9415441965267615,-33.22031429685547,429.94548948767476,456.57790495454435,431.21897130748886,0.9733677984625452,0.7345102321884769,0.42244574070731855,0.0226155586330922,3.651637859295073e-253,0.0,1.2635850786400874e-253,0.011226583961005955,-7956.4050828127965,15914.810165625595,15919.952202200302,17177.771671869632,SR_Q_WOB,1.0,sub18
