P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,subject
-130.2882827662604,-11.792935834415502,13.943594344576152,-17.52433889038069,515.041996452702,537.9817165278643,499.6046953192931,5.3863306706881836e-21,0.3064638651074631,0.1598652456884212,0.6759432723531167,1.016836465503706e-297,2.120154741661272e-231,5.493766181175915e-286,0.0750458216169212,-8348.343916259952,16704.687832519903,16725.265461241186,30953.788028377432,SR_Q_D_alphaCCC_WOB,0.4303190922002174,0.9909065855169732,-0.8277730097776054,0.8695437834689571,sub36
-78.53950943378797,24.07088448178745,17.908433297215673,1.6587982131259622,396.52895824721395,391.11329661784765,381.84462018625266,8.269994023110147e-26,2.106397314752021e-05,0.0002015370160228749,0.8851401650035029,0.0,0.0,0.0,0.12329659688226555,-7511.754258291603,15031.508516583206,15052.12697801086,7326.395752447878,SR_Q_D_alphaCCC_WOB,0.3727108367327155,0.7341521344452292,-0.6468359148683498,0.2834563078643952,sub37
-65.84008473943496,10.335084065299908,7.93351785742275,-24.751434474617728,392.57308196533995,403.67523821516863,402.57006119969884,9.096165064228067e-14,0.06349294630065948,0.09665950864511533,0.024950305629970883,0.0,0.0,0.0,0.063373191004922,-7235.136385398123,14478.272770796246,14498.757780609221,6978.226291870846,SR_Q_D_alphaCCC_WOB,0.28616605215519764,0.5877350670015479,-0.7821245929166702,0.8821577404275416,sub38
-97.17979445891459,2.08637810969935,33.269188979576434,59.4285127789957,390.23496104766883,373.45584155616206,350.1709297297548,3.551443377984578e-65,0.6748471338758173,1.8777789786446187e-14,9.482183615913408e-05,0.0,0.0,0.0,0.2665583677433371,-7318.837877769439,14645.675755538878,14666.269138514475,5823.924694423268,SR_Q_D_alphaCCC_WOB,0.4988068218454487,0.9560799692094956,-0.6723940347030286,0.6604845933872948,sub39
-51.93111985921366,-0.0858279181558732,-16.829060746062847,-0.4311520980282353,393.24124155664947,424.7568023319223,400.6358524523515,2.4123179191939844e-19,0.9838643380242578,3.9883148396733104e-06,0.9641211569245852,0.0,0.0,0.0,0.11650904645750172,-7167.401185590081,14342.802371180162,14363.427077730083,4203.681831753161,SR_Q_D_alphaCCC_WOB,0.3110943586726944,0.3998027242135849,-0.6825461001836576,0.5985951880792816,sub40
-48.818434568558104,-8.56708546035428,-9.780177890200447,23.039415777653915,426.0163408763521,432.0595301563595,415.08760583734704,6.14718374490338e-42,0.050828403483531,0.009757782189199355,0.08055319006569035,0.0,0.0,0.0,0.16393791502916533,-7193.505754676824,14395.011509353648,14415.623715893398,4534.932277642384,SR_Q_D_alphaCCC_WOB,0.7317886519889245,0.7722596181527129,-0.5365557487427173,0.6249070533589944,sub09
-35.875311509164455,9.356918108538387,14.266144653372988,71.9300783113629,415.9617937287176,410.4838856670391,389.88980766378853,7.695076516122102e-13,0.07887670729769178,0.001723095869876632,0.01979863760025447,0.0,0.0,0.0,0.06801178479382564,-7434.453702818579,14876.907405637156,14897.522740843471,6552.088944920826,SR_Q_D_alphaCCC_WOB,0.587888826208546,0.5325706515791847,-0.1514986692852892,0.411832100538798,sub10
-46.17470454545274,-7.8284415556820885,-7.456243478802015,-7.460527622948625,430.13247825327437,426.6045870824688,411.95628874453763,1.443581802837769e-18,0.26955951772796394,0.22394148265452093,0.4874958632682014,0.0,0.0,7.0589612148e-313,0.06937857640364231,-7782.831854294628,15573.663708589256,15594.263375933784,11849.836270798545,SR_Q_D_alphaCCC_WOB,0.8241960729726012,0.9134382761589436,-0.9616992745506776,0.8658559058174744,sub11
-51.45758774573232,-0.5191728398681157,25.863530184475003,26.156569049972592,378.0862972299019,367.4756246235778,369.69326324849715,1.465148942726157e-09,0.9243155571148418,3.861983232837658e-08,0.10068313089247127,0.0,0.0,0.0,0.057438400218513534,-7389.489988070672,14786.97997614134,14807.554446552158,6876.6217688190345,SR_Q_D_alphaCCC_WOB,0.31783822862517785,1.0,-0.9904870916231064,0.8243284114458308,sub12
-24.985683779498164,3.7584102066084633,5.107844239454463,-10.560712071345588,325.23537789823587,339.1180489500872,334.8177425286277,1.8929470773658842e-10,0.2676887220243605,0.07900684790798039,0.18222754058270396,0.0,0.0,0.0,0.04265564266920596,-6863.1903519366615,13734.380703873321,13754.996039079637,2681.796880959726,SR_Q_D_alphaCCC_WOB,0.4666089391415831,1.0,-0.7154921636128739,0.6742905846578707,sub17
