P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,subject
-111.19240753053607,-13.04008736639236,12.146908149815012,1.4185766744084276,516.8386224437817,541.0019736814372,500.15307270384653,2.960895243031076e-21,0.2561724630165506,0.2186100718068741,0.9742386848244436,1.6354375735129554e-298,9.953831290136971e-234,3.9565753434213854e-285,0.07737743170211697,-8215.087639843805,16436.17527968761,16451.565575217992,30235.949871048197,SR_Q_D_E_WOB,0.5412918106810845,0.9229839081179404,0.0001,sub36
-79.3564694136268,21.18096356053133,20.55280401572465,-6.426310561569537,395.1477870130758,393.13842920235686,384.06391000248817,2.6882273590743985e-29,5.5283075987184534e-05,2.653731576741595e-06,0.5410594780161727,0.0,0.0,0.0,0.14854002958222454,-6997.648061529593,14001.296123059186,14016.611019403997,5724.519182020492,SR_Q_D_E_WOB,0.3521632960446206,0.6577541780356956,0.15640743726255665,sub37
-55.356902802325926,15.460697362763579,9.786849724008212,-27.147067813485688,394.9182630904887,404.22314713263887,404.7218950395996,6.185327309454872e-14,0.007961542266642564,0.04294146651710797,0.014288062186077987,0.0,0.0,0.0,0.0756573461922071,-6856.9503263449205,13719.900652689843,13735.110275075218,6792.695213381303,SR_Q_D_E_WOB,0.34821089219906937,0.4543052317437518,0.14916647175336833,sub38
-85.0795894161481,2.330681093389595,34.90913199000001,25.26722157327087,388.41579074606017,372.8835518256176,350.2799020267817,1.2291001981314926e-70,0.6290150580694442,7.693670528688385e-17,0.0863730073119748,0.0,0.0,0.0,0.2844975206065625,-7101.6196073555775,14209.239214711155,14224.619887137851,5272.960257045135,SR_Q_D_E_WOB,0.614658853333524,1.0,0.2350003458502337,sub39
-39.764292387656,3.8314093429150766,-16.362351343734325,2.534576778553877,393.36467085285796,421.43046012195435,398.9128167168939,4.5067833704527154e-21,0.367943548504173,4.99454764192363e-06,0.7903427522245751,0.0,0.0,0.0,0.12666757250814353,-6853.551372589832,13713.102745179664,13728.456793793057,3904.8934410381303,SR_Q_D_E_WOB,0.4624310525984645,0.3568090671397896,0.0001,sub40
-51.26133106283594,-10.191075620918939,-9.967645656375732,24.669176794957096,427.2151488596191,431.68335330828796,416.373592002651,5.472924796976617e-42,0.022585424294834587,0.008779219293108,0.059977222076762864,0.0,0.0,0.0,0.16815263239391687,-7034.431511609675,14074.86302321935,14090.258118750751,4483.756494647756,SR_Q_D_E_WOB,0.6828117909470122,0.847463127377444,0.13518020701202166,sub09
-53.10427334843578,10.002998208067492,14.380754108878017,87.04904716497576,416.2056431021388,410.7398290706688,390.0654063418663,9.430507243858986e-14,0.06064137346665997,0.0015950563759245613,0.004847737462144284,0.0,0.0,0.0,0.07134820634504735,-7384.981782904799,14775.963565809598,14791.406243623163,6521.5366799145395,SR_Q_D_E_WOB,0.3369422480090509,0.5296635022140785,1.0,sub10
-47.11537307208647,-8.81906787505203,-12.411651195951936,-1.8178183121451783,437.68558055366964,429.76101030141314,420.70414173339265,6.71305422896664e-25,0.18264119035992496,0.02510258952052571,0.8570356336704543,0.0,0.0,0.0,0.10352427537778043,-6882.593250206634,13771.186500413269,13786.342067282136,8778.258544968572,SR_Q_D_E_WOB,0.902692744021994,0.8438814235825037,0.6105270111577092,sub11
-44.234263445735714,-4.268422812310793,25.185800164543885,-4.362440418853296,381.4104575618597,367.5015338766399,371.3244773235747,7.340778516377213e-13,0.3881199173426375,2.909171373979505e-09,0.7665280459068257,0.0,0.0,0.0,0.07465615897981115,-7076.577334204051,14159.154668408102,14174.51600152528,5451.458297642986,SR_Q_D_E_WOB,0.4193087258154515,1.0,0.0001,sub12
-20.581317500115315,4.701045583890075,5.775830633425477,-12.721058259159525,324.8999954445171,340.35768960201733,335.48138970934747,6.832635819394732e-11,0.17592429671514626,0.05045347431033356,0.11512448109496258,0.0,0.0,0.0,0.04798366972894408,-6618.050223835313,13242.100447670626,13257.454496284021,2665.9035888515336,SR_Q_D_E_WOB,0.6386620107255583,1.0,0.0001,sub17
