P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,alpha_error,ccc,alpha_ccc,subject
-45.61178709877326,-9.581897483078503,11.448041752192168,-14.995336136151607,512.3567103651767,537.3694029307349,495.46754658768447,1.0320865536559747e-07,0.4189628323936655,0.2579386720908049,0.7400214741422467,4.2764613699055944e-284,2.0149514921497467e-220,3.1109497825070603e-271,0.030713033547104418,-8245.900771231056,16499.801542462108,16520.321936502613,31765.223549528615,AB_Q_E_alphaCCC_WOB,0.3862615962069221,0.5487564452280923,-0.8082006355889914,0.7522264252037533,sub36
-19.101287025881945,25.125493124109177,20.95053434089569,-2.85071040931477,393.8206717574279,389.6911356561998,382.852662962145,2.135488268540449e-11,4.063137217439607e-06,3.6717909304698615e-06,0.7930654059486263,0.0,0.0,0.0,0.08929671815603224,-7038.612233309937,14085.224466619875,14105.644328412956,6122.822665975523,AB_Q_E_alphaCCC_WOB,1.0,0.0001,-0.7307699112888868,0.3762023671586721,sub37
-21.37601746991841,14.429973128025956,10.275464677657675,-24.916839476494843,394.2862929815999,405.6287367831884,404.04275686449785,3.3304940131214163e-10,0.01482322532424301,0.03481039013861556,0.02541769928698663,0.0,0.0,0.0,0.0622388719518534,-6865.424826536824,13738.849653073648,13759.129149587483,6891.303240808853,AB_Q_E_alphaCCC_WOB,0.6932864009612422,0.4033692637067935,-0.7335273708433577,0.5446324053155186,sub38
-29.645067262822145,2.2898485503604213,34.39570988737233,31.47362868677313,388.6776211179617,371.74687888664187,349.7625175526284,1.7687523258941414e-19,0.6697126253885489,6.783726153876703e-14,0.052017551088342655,0.0,0.0,0.0,0.1353889785442507,-7219.455530319688,14446.911060639375,14467.418623874973,6371.829148417994,AB_Q_E_alphaCCC_WOB,0.5657383184195833,0.28902335475969543,-0.35120739992616545,0.6461260699320907,sub39
-19.622122577501106,3.4134217266692013,-15.884862551936884,3.3606982907128535,392.82194999893335,422.3256868219045,399.0525602082618,3.143981087953364e-14,0.4332666985118325,1.2006510649477554e-05,0.7278049689834201,0.0,0.0,0.0,0.10424264970899633,-6869.194353153672,13746.388706307343,13766.860771125204,4005.1610267356627,AB_Q_E_alphaCCC_WOB,0.6694711032441716,0.17632755280488974,-0.3806918264401829,0.3582750436870907,sub40
-32.886012255123205,-8.571106715328298,-10.639867488709566,30.52180387094427,428.46089114885115,433.20072713674364,415.18950131435486,1.6800741292179662e-22,0.06798375407941508,0.006971267552837706,0.024807678908263128,0.0,0.0,0.0,0.1063682992474566,-7079.245303271297,14166.490606542593,14187.01740058446,4816.781417166671,AB_Q_E_alphaCCC_WOB,0.3777349837601685,0.3109812674092674,-0.2500695593407034,0.5193729723682641,sub09
-22.917758077757806,10.28734569497732,14.345284214190158,40.89643474029901,416.4179183521139,411.93644709694786,388.7261605414443,5.122149126375795e-08,0.05970378742964269,0.0018260163595801469,0.19455826108030133,0.0,0.0,0.0,0.05218152881546523,-7397.964506287525,14803.92901257505,14824.51924965981,6656.136312876654,AB_Q_E_alphaCCC_WOB,0.34774071096368137,1.0,-0.6202739308560961,0.3989370023750499,sub10
-20.842209797368906,-10.153549337421778,-13.028275303691109,-2.8639400404563564,436.35615201603133,427.12989514890353,419.69552304843427,2.158028459379837e-05,0.1529920340856146,0.02368043683588782,0.7859562081517734,0.0,0.0,2.77214147e-316,0.031951054700203874,-6926.951853682969,13861.903707365938,13882.111129857762,9479.100986889664,AB_Q_E_alphaCCC_WOB,0.37978027408643095,0.7192128369215613,-0.7793261921824692,0.3403798578822884,sub11
-19.586521199033168,-5.396750588287643,25.11136506880229,-5.443300363830396,381.2015512835836,367.8118166651906,371.5316900852208,3.106187373877645e-05,0.28535157011771023,5.286334122072231e-09,0.7155145853499059,0.0,0.0,0.0,0.04863330043138514,-7093.7309328328565,14195.461865665713,14215.94364315528,5604.7662057313355,AB_Q_E_alphaCCC_WOB,0.1997047678961896,0.8833487978976398,-0.22743192582012814,0.403853607821948,sub12
-10.9586880287327,7.2510827764688335,5.408500474281347,-13.259123780263494,325.1287666536278,340.5726065833227,335.9092791788858,5.7260439517608e-07,0.046960911533364534,0.06884915937259171,0.10371706665171793,0.0,0.0,0.0,0.03425237179790208,-6626.8858843141825,13261.771768628365,13282.243833446224,2704.3549423084132,AB_Q_E_alphaCCC_WOB,0.6018018284866629,0.6834582255437535,-0.07249403465564419,0.2222131282459053,sub17
-12.698125003385663,-0.32601712405523386,-3.3684336729204745,-8.410462851893872,437.11175738331116,474.63388404304567,440.87873462193704,0.0054558435290419476,0.9685234753549478,0.6254191949355683,0.5613179246054449,4.4963548057985596e-274,0.0,4.0473390298852166e-275,0.02668611636174134,-7256.061691159191,14520.123382318381,14540.392661712993,13820.725931505878,AB_Q_E_alphaCCC_WOB,1.0,0.4961694823755219,-0.23090330051037544,0.6207782623484661,sub18
-19.00551820577037,0.5511829373816823,40.72447339804806,-23.361101556137548,392.96443806777495,387.7504649417768,402.0041855228211,5.084532756952956e-06,0.9404440428517116,3.4452409399576396e-11,0.02281867100475987,3.459816017665321e-275,0.0,1.6395584436150297e-273,0.06148505212711386,-6901.007925306677,13810.015850613354,13830.174492012802,10493.837785121445,AB_Q_E_alphaCCC_WOB,0.7874930186491907,0.2435837597470628,-0.4747423377256042,0.5551631041284324,sub19
-22.806146069691184,1.957814382218988,7.4757653528160946,40.973253346204025,414.60868793037,425.17852791408666,440.5810484245964,3.729904804310986e-10,0.7436692615726419,0.13634511957341,0.0011359641387912425,0.0,0.0,0.0,0.0569134384197384,-7214.950818339042,14437.901636678083,14458.34442117,7643.680245909029,AB_Q_E_alphaCCC_WOB,0.6251773722234506,0.25773171972035963,-0.6117075283609826,0.5157850535533223,sub20
-16.182093817484105,8.276992110763222,-2.017471800341584,24.1531836754577,427.54896282118125,439.16160565460603,422.8239239623964,6.559160124583826e-09,0.14236512751776773,0.6770130558729679,0.2792621234465201,0.0,0.0,0.0,0.03127080569329843,-7363.594774154529,14735.189548309056,14755.729111715322,7309.53780285722,AB_Q_E_alphaCCC_WOB,1.0,0.1727127675111196,-0.013734808224270534,0.8808225804728245,sub41
-11.128594541139526,1.7773270860556991,18.28605622098333,41.283455842820175,404.841961922028,456.4513763584159,450.2863131342782,0.0025224716326559915,0.8022045052503615,0.0019445240549521316,0.002433592776448914,1.7134060741287375e-301,0.0,0.0,0.07206080270741666,-7181.8151967508265,14371.630393501653,14391.957227846071,10223.0532868278,AB_Q_E_alphaCCC_WOB,1.0,9.9999999999989e-05,-0.30973131566641754,0.7361402531299811,sub42
-13.566088065420384,7.894081999600062,-1.4403301848794712,9.229581235531157,440.53302961361237,416.9131550537754,421.1866318366989,0.0011575783206147039,0.3175732090931434,0.8279948470386524,0.4317048629690604,2.0547315078195253e-291,0.0,1.40336474593397e-272,0.02033556561493888,-7044.527278457803,14097.054556915606,14117.237663223124,12516.693854230964,AB_Q_E_alphaCCC_WOB,0.8245786020586571,0.0001,-0.7509713862385232,0.7099206277260748,sub43
-26.880258538842373,5.18414597958272,19.226383052380182,78.44300736183743,428.0989959652751,461.6199248941239,450.6666805685863,1.3129158036448276e-08,0.410726844386284,0.00022485994514421972,1.811050886138521e-05,0.0,0.0,0.0,0.06769069509462178,-7445.112721004168,14898.225442008335,14918.761816893108,8402.679329173063,AB_Q_E_alphaCCC_WOB,0.3122366929532768,0.0001,-0.9791079677914932,0.7129741943673493,sub44
-12.308408597460533,-4.462604534698729,12.444713308951966,39.77806108163769,393.65244953520113,397.23219718225454,403.42710033613207,2.7262338128466296e-08,0.2921071764341425,0.0005444996935644369,0.00011563105211406086,0.0,0.0,0.0,0.0543138441636285,-6846.468823308172,13700.937646616345,13721.40322319272,3930.493910830107,AB_Q_E_alphaCCC_WOB,0.3569745173197382,0.3687290662855544,-0.2915072502584676,0.8743353466999353,sub45
