subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub47,14020.03151,14020.70043,14022.98172,14024.87108,14027.41324,13918.34738,13920.28473,13915.45607,13921.78401
sub48,14951.77567,14953.32304,14955.66501,14956.73224,14966.46419,14919.22093,14920.36838,14920.54864,14924.36838
sub05,14211.36383,14213.16581,14213.64113,14214.2125,14226.33472,14227.92943,14229.71906,14230.45878,14233.91204
sub06,13784.42016,13785.70113,13787.9231,13782.05627,13743.89575,13700.65636,13702.09024,13704.55341,13704.70666
sub07,15021.49922,15021.40168,15024.7639,15024.74577,15017.69875,15019.26615,15020.16886,15034.44873,15024.16886
sub08,14160.40299,14162.25305,14164.71898,14160.98962,14154.96608,14152.33597,14154.06859,14156.12364,14163.95725
sub21,13840.59444,13842.14266,13842.64444,13845.44025,13816.90238,13798.7642,13799.3719,13802.23252,13800.73873
sub22,14464.75481,14466.29471,14468.74894,14469.77575,14455.64096,14451.98348,14453.98126,14455.13625,14456.92001
sub23,13200.93116,13202.93116,13204.93116,13206.80062,13150.50021,13121.53246,13111.52845,13125.31759,13120.62884
sub24,13646.59663,13647.74539,13650.59795,13650.39754,13615.18352,13607.18089,13601.70374,13610.90665,13604.76074
sub25,13440.01628,13441.78288,13443.97167,13445.59542,13439.51626,13433.25175,13433.09823,13437.16289,13437.74101
sub26,15112.86672,15113.18318,15116.807,15116.33212,15073.58179,15017.12189,15016.32039,15021.0462,15021.26407
sub27,15155.07403,15156.78591,15159.9896,15158.40314,15088.7288,15013.43559,15015.37904,15012.78327,15007.83385
sub28,14243.49708,14245.33692,14247.1938,14248.90825,14223.06575,14206.16245,14207.3379,14206.82362,14210.61587
sub29,12613.01183,12613.8318,12614.43912,12617.79339,12563.94523,12526.68678,12526.09489,12530.47767,12526.76144
sub30,14175.99346,14174.89005,14180.62404,14178.82038,14150.49474,14135.49674,14136.91919,14139.41187,14161.11154
sub31,14462.05815,14463.27345,14465.69552,14467.14419,14426.72944,14401.54402,14403.48923,14401.19486,14407.26441
sub32,13890.29562,13892.16012,13892.00892,13894.11103,13817.01412,13776.32487,13778.03512,13777.41587,13779.74188
