P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,relevant,subject
-117.34874827830431,-12.659455097801551,12.037535979271492,8.44823007264215,516.6117171117678,540.9283445584912,499.81586302108366,7.074769123582909e-21,0.27049815670200617,0.2231004615435687,0.8475954679958599,3.763093977497046e-298,1.9827044711904517e-233,9.389412825394566e-285,0.07609604198708375,-8215.95437854925,16441.9087570985,16467.559249649126,30277.94324622373,SR_Q_D_alphaCCC_relevant_WOB,0.4955018982306494,0.9522593789835928,-0.1850513846276275,0.8294638329477881,0.855264147781727,sub36
-79.48371513372508,21.68478616325965,21.005188902824496,-6.563823956703504,394.68783481478937,392.6994030393637,383.2584711424919,6.718774205178411e-29,3.6340472009828915e-05,1.628180853766589e-06,0.5327659192189489,0.0,0.0,0.0,0.14726046807240856,-6998.562570781402,14007.125141562805,14032.649968804153,5733.121905180713,SR_Q_D_alphaCCC_relevant_WOB,0.3422781035800047,0.6419850878698327,-0.4026479355643477,0.8583454618707308,0.7128556303445628,sub37
-56.268369746407785,16.065770042977285,9.519540025092578,-27.22911009274195,394.33912364131663,403.6744034349233,404.47703527961295,9.45174780413279e-14,0.005761301920631168,0.049108932967194124,0.014038611252890602,0.0,0.0,0.0,0.07499768035183307,-6857.369808416853,13724.739616833704,13750.088987475998,6797.542884294172,SR_Q_D_alphaCCC_relevant_WOB,0.34057746110712034,0.4865289374211623,-0.3554100608329737,0.3715987840848043,0.11578927064488992,sub38
-84.62509243309125,2.861576174840017,34.98015691317356,25.370149974877826,387.9155523100068,372.64792679257437,349.98982439023035,9.723329940717815e-70,0.5535447428678286,7.509695288772325e-17,0.08561970591710041,0.0,0.0,0.0,0.2821094856193649,-7103.693781237171,14217.387562474341,14243.022016518835,5290.559096940982,SR_Q_D_alphaCCC_relevant_WOB,0.6100132073649608,0.9965749775500352,-0.4445360690229658,0.5224852273133572,0.9748766462381,sub39
-40.7233532924749,4.256518277126245,-15.805606099435337,0.3840134238554098,392.80212566595907,420.51633309481394,398.6117659353237,5.123226403865126e-20,0.3176729255743125,1.0709804637625728e-05,0.9679391732194794,0.0,0.0,0.0,0.12323796547840934,-6855.9696080531885,13721.939216106379,13747.529297128704,3920.228094412636,SR_Q_D_alphaCCC_relevant_WOB,0.4274441284239226,0.3564150685159129,-0.4487607730992464,0.8199541563174731,0.7144744830716743,sub40
-49.13967988689392,-9.903987152491917,-9.643126240931863,22.953388810776158,426.9637023811205,431.63543722013236,416.1552822234038,5.993084109834277e-41,0.027091338961835867,0.011388200436403356,0.08070379128177688,0.0,0.0,0.0,0.1649617446983136,-7036.8262802298495,14083.652560459699,14109.311053012034,4500.9557597846115,SR_Q_D_alphaCCC_relevant_WOB,0.7215111529000972,0.7777481654478527,-0.19631434701753012,0.6198676468951455,0.29615553963562435,sub09
-50.82828707883186,9.951737466212712,14.2036067758079,70.82720281541393,416.31217236345003,410.8588339555823,390.0077408648821,2.0468266059828213e-13,0.0621733854028194,0.0018316500728896594,0.02154011185995371,0.0,0.0,0.0,0.07022818878745796,-7385.747777527507,14781.495555055017,14807.23335141096,6529.402098974188,SR_Q_D_alphaCCC_relevant_WOB,0.3542988874105596,0.5171740092496401,-0.6584738428932495,0.35737743063358457,0.7447324667927974,sub10
-48.370468622133075,-8.992649840754089,-11.872252458302352,-1.8201830409070356,437.315699902382,429.52215515473694,420.4168208947216,1.2948865202849951e-24,0.1743281909572767,0.032251615481835694,0.8569332964795919,0.0,0.0,0.0,0.10250668661151696,-6883.248398164142,13776.496796328283,13801.756074443065,8788.222738127826,SR_Q_D_alphaCCC_relevant_WOB,0.8461961513425899,0.8589984834691774,-0.16707227611588482,0.2870286634676075,0.8495943486172632,sub11
-43.69037539178253,-4.431664702239873,25.386498694133916,-6.458472789200448,381.52572968707534,367.2085375779234,371.20596502727915,5.39067669690162e-12,0.3710490132507504,2.312713053367866e-09,0.6610844885902261,0.0,0.0,0.0,0.07170763728188267,-7078.5449934508715,14167.089986901743,14192.692208763703,5468.828860528725,SR_Q_D_alphaCCC_relevant_WOB,0.4016347061179352,1.0,-0.3874985220531357,0.3079725421396225,0.344706019512413,sub12
-28.060761845877813,4.680617123225079,5.6818888873564175,-12.268939620405648,324.84557613699764,340.0613914419248,335.31657056228215,1.850944029767246e-10,0.17829670753578894,0.05447738510923263,0.12876273631519786,0.0,0.0,0.0,0.046470181303813966,-6619.0303339787215,13248.060667957443,13273.650748979773,2670.141766456597,SR_Q_D_alphaCCC_relevant_WOB,0.3874499912079565,1.0,-0.12218043359021248,0.5673389870293548,0.1120195873048662,sub17
