,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
492,red,0,1,0,462.5,0,4,0,493,0,0,0,0,0,1,0,0,0.5001476746151571,0.5001476746151571,0.4998523253848431,0.4998522523898372,0.5001477476101636,0.4998523253848429,-0.4998523253848431,0.0,0.0
493,red,0,1,0,467.5,0,4,0,494,0,0,0,0,0,1,0,0,0.5001976648462189,0.5001976648462189,0.49980233515378136,0.4998522523898372,0.5001477476101636,0.49980233515378114,-0.49980233515378136,0.0,0.0
494,green,1,1,1,386.5,0,4,1,495,0,0,0,0,0,1,0,0,0.5001477476101636,0.5002476500777576,0.49975234992224266,0.4998522523898372,0.5001477476101636,0.0,0.0,-0.4998522523898372,0.49985225238983644
495,green,1,1,1,425.4,0,4,1,496,0,0,0,0,0,1,0,0,0.5001977378339251,0.5002476500777576,0.49975234992224266,0.4998022621660757,0.5001977378339251,0.0,0.0,-0.4998022621660757,0.49980226216607493
496,red,0,1,0,392.5,0,4,0,497,0,0,0,0,0,1,0,0,0.5002476500777576,0.5002476500777576,0.49975234992224266,0.4997522769418365,0.5002477230581643,0.4997523499222424,-0.49975234992224266,0.0,0.0
497,red,1,1,0,495.4,1,4,0,498,0,0,0,0,0,1,0,0,0.4997522769418365,0.5002976303102733,0.4997023696897269,0.4997522769418365,0.5002477230581643,0.0,0.0,0.5002477230581635,-0.5002477230581643
498,green,1,1,1,494.5,0,4,1,499,0,0,0,0,0,1,0,0,0.5001976932833813,0.5002976303102733,0.4997023696897269,0.4998023067166195,0.5001976932833813,0.0,0.0,-0.4998023067166195,0.49980230671661874
499,green,1,1,1,427.3,0,4,1,500,0,0,0,0,0,1,0,0,0.500247678512076,0.5002976303102733,0.4997023696897269,0.4997523214879248,0.500247678512076,0.0,0.0,-0.4997523214879248,0.49975232148792403
500,green,1,1,1,824.4,0,4,1,501,0,0,0,0,0,1,0,0,0.5002976587417479,0.5002976303102733,0.4997023696897269,0.4997023412582528,0.5002976587417479,0.0,0.0,-0.4997023412582528,0.4997023412582521
501,green,0,1,1,521.3,1,4,1,502,0,0,0,0,0,1,0,0,0.4997023696897269,0.5002976303102733,0.4997023696897269,0.49965236602710356,0.5003476339728972,-0.5002976303102733,0.5002976303102731,0.0,0.0
502,green,1,1,1,352.3,0,4,1,503,0,0,0,0,0,1,0,0,0.5003476339728972,0.500247595544266,0.49975240445573427,0.49965236602710356,0.5003476339728972,0.0,0.0,-0.49965236602710356,0.49965236602710283
503,red,0,1,0,397.3,0,4,0,504,0,0,0,0,0,1,0,0,0.500247595544266,0.500247595544266,0.49975240445573427,0.4996023957939772,0.5003976042060235,0.499752404455734,-0.49975240445573427,0.0,0.0
504,red,0,1,0,364.3,0,4,0,505,0,0,0,0,0,1,0,0,0.5002975757822357,0.5002975757822357,0.4997024242177647,0.4996023957939772,0.5003976042060235,0.49970242421776434,-0.4997024242177647,0.0,0.0
505,red,0,1,0,393.3,0,4,0,506,0,0,0,0,0,1,0,0,0.5003475510216817,0.5003475510216817,0.4996524489783187,0.4996023957939772,0.5003976042060235,0.4996524489783183,-0.4996524489783187,0.0,0.0
506,green,1,1,1,414.2,0,4,1,507,0,0,0,0,0,1,0,0,0.5003976042060235,0.500397521263104,0.49960247873689634,0.4996023957939772,0.5003976042060235,0.0,0.0,-0.4996023957939772,0.4996023957939765
507,red,1,1,0,571.2,1,4,0,508,0,0,0,0,0,1,0,0,0.49955243055837384,0.500397521263104,0.49960247873689634,0.49955243055837384,0.5004475694416269,0.0,0.0,0.5004475694416262,-0.5004475694416269
508,green,1,1,1,368.3,0,4,1,509,0,0,0,0,0,1,0,0,0.5003975196802071,0.500397521263104,0.49960247873689634,0.4996024803197937,0.5003975196802071,0.0,0.0,-0.4996024803197937,0.49960248031979293
509,green,1,1,1,415.2,0,4,1,510,0,0,0,0,0,1,0,0,0.5004474849242638,0.500397521263104,0.49960247873689634,0.49955251507573695,0.5004474849242638,0.0,0.0,-0.49955251507573695,0.49955251507573617
510,red,0,1,0,468.2,0,4,0,511,0,0,0,0,0,1,0,0,0.500397521263104,0.500397521263104,0.49960247873689634,0.4995025548287042,0.5004974451712966,0.499602478736896,-0.49960247873689634,0.0,0.0
511,red,1,1,0,473.3,1,4,0,512,0,0,0,0,0,1,0,0,0.4995025548287042,0.5004474865070024,0.49955251349299784,0.4995025548287042,0.5004974451712966,0.0,0.0,0.5004974451712958,-0.5004974451712966
512,green,1,1,1,382.2,0,4,1,513,0,0,0,0,0,1,0,0,0.500447390421805,0.5004474865070024,0.49955251349299784,0.4995526095781958,0.500447390421805,0.0,0.0,-0.4995526095781958,0.49955260957819503
513,red,0,1,0,355.2,0,4,0,514,0,0,0,0,0,1,0,0,0.5004474865070024,0.5004474865070024,0.49955251349299784,0.4995026493217119,0.5004973506782889,0.49955251349299756,-0.49955251349299784,0.0,0.0
514,green,1,1,1,376.3,0,4,1,515,0,0,0,0,0,1,0,0,0.5004973506782889,0.5004974467538769,0.4995025532461234,0.4995026493217119,0.5004973506782889,0.0,0.0,-0.4995026493217119,0.49950264932171107
515,red,0,1,0,431.2,0,4,0,516,0,0,0,0,0,1,0,0,0.5004974467538769,0.5004974467538769,0.4995025532461234,0.49945269406175324,0.5005473059382476,0.49950255324612314,-0.4995025532461234,0.0,0.0
516,red,0,1,0,484.2,0,4,0,517,0,0,0,0,0,1,0,0,0.500547402004227,0.500547402004227,0.4994525979957733,0.49945269406175324,0.5005473059382476,0.499452597995773,-0.4994525979957733,0.0,0.0
517,green,1,1,1,451.3,0,4,1,518,0,0,0,0,0,1,0,0,0.5005473059382476,0.5005973522585525,0.4994026477414477,0.49945269406175324,0.5005473059382476,0.0,0.0,-0.49945269406175324,0.4994526940617524
518,red,1,1,0,506.4,1,4,0,519,0,0,0,0,0,1,0,0,0.4994027437978201,0.5005973522585525,0.4994026477414477,0.4994027437978201,0.5005972562021807,0.0,0.0,0.5005972562021799,-0.5005972562021807
519,green,1,1,1,515.1,0,4,1,520,0,0,0,0,0,1,0,0,0.5005471914705879,0.5005973522585525,0.4994026477414477,0.49945280852941293,0.5005471914705879,0.0,0.0,-0.49945280852941293,0.4994528085294121
520,red,0,1,0,336.1,0,4,0,521,0,0,0,0,0,1,0,0,0.5005973522585525,0.5005973522585525,0.4994026477414477,0.4994028582540319,0.5005971417459689,0.4994026477414475,-0.4994026477414477,0.0,0.0
521,red,1,1,0,429.1,1,4,0,522,0,0,0,0,0,1,0,0,0.4994028582540319,0.5006472975173532,0.49935270248264707,0.4994028582540319,0.5005971417459689,0.0,0.0,0.500597141745968,-0.5005971417459689
522,green,1,1,1,388.1,0,4,1,523,0,0,0,0,0,1,0,0,0.5005470770258229,0.5006472975173532,0.49935270248264707,0.4994529229741779,0.5005470770258229,0.0,0.0,-0.4994529229741779,0.4994529229741771
523,green,1,1,1,561.1,0,4,1,524,0,0,0,0,0,1,0,0,0.5005970273126495,0.5006472975173532,0.49935270248264707,0.4994029726873513,0.5005970273126495,0.0,0.0,-0.4994029726873513,0.49940297268735045
524,red,1,1,0,546.0,1,4,0,525,0,0,0,0,0,1,0,0,0.4993530273960528,0.5006472975173532,0.49935270248264707,0.4993530273960528,0.500646972603948,0.0,0.0,0.5006469726039472,-0.500646972603948
525,red,0,1,0,457.2,0,4,0,526,0,0,0,0,0,1,0,0,0.5006472975173532,0.5006472975173532,0.49935270248264707,0.4994030970997829,0.5005969029002179,0.49935270248264685,-0.49935270248264707,0.0,0.0
526,red,0,1,0,420.1,0,4,0,527,0,0,0,0,0,1,0,0,0.5006972377811284,0.5006972377811284,0.49930276221887177,0.4994030970997829,0.5005969029002179,0.4993027622188716,-0.49930276221887177,0.0,0.0
527,green,1,1,1,587.1,0,4,1,528,0,0,0,0,0,1,0,0,0.5005969029002179,0.5007471730503779,0.49925282694962225,0.4994030970997829,0.5005969029002179,0.0,0.0,-0.4994030970997829,0.49940309709978215
528,green,0,1,1,513.9,1,4,1,529,0,0,0,0,0,1,0,0,0.49925282694962225,0.5007471730503779,0.49925282694962225,0.49935315179604195,0.5006468482039588,-0.5007471730503779,0.5007471730503777,0.0,0.0
529,green,1,1,1,407.0,0,4,1,530,0,0,0,0,0,1,0,0,0.5006468482039588,0.5006970933256011,0.499302906674399,0.49935315179604195,0.5006468482039588,0.0,0.0,-0.49935315179604195,0.49935315179604123
530,red,0,1,0,380.0,0,4,0,531,0,0,0,0,0,1,0,0,0.5006970933256011,0.5006970933256011,0.499302906674399,0.4993032114873308,0.5006967885126699,0.4993029066743989,-0.499302906674399,0.0,0.0
531,green,0,1,1,465.0,1,4,1,532,0,0,0,0,0,1,0,0,0.4992529713907025,0.5007470286092975,0.4992529713907025,0.4993032114873308,0.5006967885126699,-0.5007470286092975,0.5007470286092974,0.0,0.0
532,red,0,1,0,496.0,0,4,0,533,0,0,0,0,0,1,0,0,0.5006969488989663,0.5006969488989663,0.49930305110103373,0.4993032114873308,0.5006967885126699,0.4993030511010337,-0.49930305110103373,0.0,0.0
533,red,0,1,0,486.9,0,4,0,534,0,0,0,0,0,1,0,0,0.5007468841971069,0.5007468841971069,0.4992531158028931,0.4993032114873308,0.5006967885126699,0.4992531158028931,-0.4992531158028931,0.0,0.0
534,green,1,1,1,339.9,0,4,1,535,0,0,0,0,0,1,0,0,0.5006967885126699,0.5007968145012184,0.4992031854987817,0.4993032114873308,0.5006967885126699,0.0,0.0,-0.4993032114873308,0.49930321148733015
535,green,1,1,1,432.9,0,4,1,536,0,0,0,0,0,1,0,0,0.5007467238268507,0.5007968145012184,0.4992031854987817,0.49925327617314996,0.5007467238268507,0.0,0.0,-0.49925327617314996,0.4992532761731493
536,green,1,1,1,382.2,0,4,1,537,0,0,0,0,0,1,0,0,0.5007966541470008,0.5007968145012184,0.4992031854987817,0.49920334585299986,0.5007966541470008,0.0,0.0,-0.49920334585299986,0.4992033458529992
537,green,1,1,1,412.9,0,4,1,538,0,0,0,0,0,1,0,0,0.5008465794736195,0.5007968145012184,0.4992031854987817,0.4991534205263811,0.5008465794736195,0.0,0.0,-0.4991534205263811,0.49915342052638045
538,red,0,1,0,409.9,0,4,0,539,0,0,0,0,0,1,0,0,0.5007968145012184,0.5007968145012184,0.4992031854987817,0.49910350019279426,0.5008964998072064,0.4992031854987816,-0.4992031854987817,0.0,0.0
539,red,0,1,0,440.8,0,4,0,540,0,0,0,0,0,1,0,0,0.5008467398118001,0.5008467398118001,0.49915326018819994,0.49910350019279426,0.5008964998072064,0.49915326018819994,-0.49915326018819994,0.0,0.0
540,red,0,1,0,421.8,0,4,0,541,0,0,0,0,0,1,0,0,0.5008966601293515,0.5008966601293515,0.49910333987064853,0.49910350019279426,0.5008964998072064,0.4991033398706485,-0.49910333987064853,0.0,0.0
541,red,0,1,0,354.7,0,4,0,542,0,0,0,0,0,1,0,0,0.5009465754543719,0.5009465754543719,0.49905342454562807,0.49910350019279426,0.5008964998072064,0.49905342454562807,-0.49905342454562807,0.0,0.0
542,red,0,1,0,345.8,0,4,0,543,0,0,0,0,0,1,0,0,0.5009964857873608,0.5009964857873608,0.4990035142126393,0.49910350019279426,0.5008964998072064,0.4990035142126392,-0.4990035142126393,0.0,0.0
543,green,1,1,1,470.8,0,4,1,544,0,0,0,0,0,1,0,0,0.5008964998072064,0.5010463911288172,0.4989536088711829,0.49910350019279426,0.5008964998072064,0.0,0.0,-0.49910350019279426,0.4991035001927936
544,red,0,1,0,389.8,0,4,0,545,0,0,0,0,0,1,0,0,0.5010463911288172,0.5010463911288172,0.4989536088711829,0.49905358485173995,0.5009464151482607,0.4989536088711828,-0.4989536088711829,0.0,0.0
545,green,0,1,1,458.8,1,4,1,546,0,0,0,0,0,1,0,0,0.4989037085207597,0.5010962914792404,0.4989037085207597,0.49905358485173995,0.5009464151482607,-0.5010962914792404,0.5010962914792403,0.0,0.0
546,red,1,1,0,463.7,1,4,0,547,0,0,0,0,0,1,0,0,0.49905358485173995,0.5010461768391296,0.49895382316087056,0.49905358485173995,0.5009464151482607,0.0,0.0,0.5009464151482601,-0.5009464151482607
547,green,1,1,1,484.6,0,4,1,548,0,0,0,0,0,1,0,0,0.5008963154972816,0.5010461768391296,0.49895382316087056,0.4991036845027189,0.5008963154972816,0.0,0.0,-0.4991036845027189,0.49910368450271836
548,green,1,1,1,503.6,0,4,1,549,0,0,0,0,0,1,0,0,0.5009462308567687,0.5010461768391296,0.49895382316087056,0.4990537691432318,0.5009462308567687,0.0,0.0,-0.4990537691432318,0.4990537691432313
549,green,1,1,1,844.5,0,4,1,550,0,0,0,0,0,1,0,0,0.5009961412242208,0.5010461768391296,0.49895382316087056,0.4990038587757798,0.5009961412242208,0.0,0.0,-0.4990038587757798,0.49900385877577924
550,red,0,1,0,371.6,0,4,0,551,0,0,0,0,0,1,0,0,0.5010461768391296,0.5010461768391296,0.49895382316087056,0.49895395339986365,0.501046046600137,0.49895382316087045,-0.49895382316087056,0.0,0.0
551,red,1,1,0,416.6,1,4,0,552,0,0,0,0,0,1,0,0,0.49895395339986365,0.5010960772109839,0.49890392278901624,0.49895395339986365,0.501046046600137,0.0,0.0,0.5010460466001363,-0.501046046600137
552,red,0,1,0,377.5,0,4,0,553,0,0,0,0,0,1,0,0,0.5010960772109839,0.5010960772109839,0.49890392278901624,0.4990040630149841,0.5009959369850164,0.4989039227890161,-0.49890392278901624,0.0,0.0
553,green,1,1,1,334.5,0,4,1,554,0,0,0,0,0,1,0,0,0.5009959369850164,0.5011459725923021,0.49885402740769813,0.4990040630149841,0.5009959369850164,0.0,0.0,-0.4990040630149841,0.49900406301498357
554,green,0,1,1,491.5,1,4,1,555,0,0,0,0,0,1,0,0,0.49885402740769813,0.5011459725923021,0.49885402740769813,0.498954157618642,0.5010458423813585,-0.5011459725923021,0.5011459725923019,0.0,0.0
555,green,1,1,1,352.5,0,4,1,556,0,0,0,0,0,1,0,0,0.5010458423813585,0.5010958529835832,0.4989041470164171,0.498954157618642,0.5010458423813585,0.0,0.0,-0.498954157618642,0.4989541576186415
556,green,1,1,1,407.5,0,4,1,557,0,0,0,0,0,1,0,0,0.5010957427866619,0.5010958529835832,0.4989041470164171,0.49890425721333853,0.5010957427866619,0.0,0.0,-0.49890425721333853,0.4989042572133381
557,red,0,1,0,380.5,0,4,0,558,0,0,0,0,0,1,0,0,0.5010958529835832,0.5010958529835832,0.4989041470164171,0.4988543617985746,0.5011456382014258,0.49890414701641683,-0.4989041470164171,0.0,0.0
558,green,1,1,1,403.5,0,4,1,559,0,0,0,0,0,1,0,0,0.5011456382014258,0.5011457483873263,0.498854251612674,0.4988543617985746,0.5011456382014258,0.0,0.0,-0.4988543617985746,0.49885436179857423
559,red,0,1,0,472.5,0,4,0,560,0,0,0,0,0,1,0,0,0.5011457483873263,0.5011457483873263,0.498854251612674,0.49880447137385114,0.5011955286261492,0.4988542516126737,-0.498854251612674,0.0,0.0
560,red,0,1,0,437.4,0,4,0,561,0,0,0,0,0,1,0,0,0.50119563880103,0.50119563880103,0.4988043611989702,0.49880447137385114,0.5011955286261492,0.49880436119897,-0.4988043611989702,0.0,0.0
561,green,0,1,1,516.4,1,4,1,562,0,0,0,0,0,1,0,0,0.4987544757748067,0.5012455242251935,0.4987544757748067,0.49880447137385114,0.5011955286261492,-0.5012455242251935,0.5012455242251933,0.0,0.0
562,green,1,1,1,353.4,0,4,1,563,0,0,0,0,0,1,0,0,0.5011955286261492,0.5011953946603158,0.49880460533968446,0.49880447137385114,0.5011955286261492,0.0,0.0,-0.49880447137385114,0.49880447137385076
563,green,0,1,1,478.5,1,4,1,564,0,0,0,0,0,1,0,0,0.49880460533968446,0.5011953946603158,0.49880460533968446,0.49875458593866906,0.5012454140613314,-0.5011953946603158,0.5011953946603156,0.0,0.0
564,green,1,1,1,339.4,0,4,1,565,0,0,0,0,0,1,0,0,0.5012454140613314,0.5011452701088959,0.49885472989110446,0.49875458593866906,0.5012454140613314,0.0,0.0,-0.49875458593866906,0.4987545859386686
565,red,0,1,0,530.4,0,4,0,566,0,0,0,0,0,1,0,0,0.5011452701088959,0.5011452701088959,0.49885472989110446,0.4987047054925293,0.5012952945074711,0.49885472989110413,-0.49885472989110446,0.0,0.0
566,red,0,1,0,479.4,0,4,0,567,0,0,0,0,0,1,0,0,0.5011951605704322,0.5011951605704322,0.49880483942956805,0.4987047054925293,0.5012952945074711,0.49880483942956777,-0.49880483942956805,0.0,0.0
567,green,1,1,1,334.5,0,4,1,568,0,0,0,0,0,1,0,0,0.5012952945074711,0.5012450460424236,0.4987549539575767,0.4987047054925293,0.5012952945074711,0.0,0.0,-0.4987047054925293,0.4987047054925289
568,green,1,1,1,363.4,0,4,1,569,0,0,0,0,0,1,0,0,0.5013451699650674,0.5012450460424236,0.4987549539575767,0.498654830034933,0.5013451699650674,0.0,0.0,-0.498654830034933,0.4986548300349326
569,green,1,1,1,384.4,0,4,1,570,0,0,0,0,0,1,0,0,0.5013950404346191,0.5012450460424236,0.4987549539575767,0.4986049595653812,0.5013950404346191,0.0,0.0,-0.4986049595653812,0.49860495956538087
570,red,0,1,0,445.4,0,4,0,571,0,0,0,0,0,1,0,0,0.5012450460424236,0.5012450460424236,0.4987549539575767,0.49855509408337506,0.5014449059166253,0.4987549539575764,-0.4987549539575767,0.0,0.0
571,green,1,1,1,356.4,0,4,1,572,0,0,0,0,0,1,0,0,0.5014449059166253,0.5012949265253689,0.4987050734746314,0.49855509408337506,0.5014449059166253,0.0,0.0,-0.49855509408337506,0.49855509408337473
572,red,0,1,0,411.3,0,4,0,573,0,0,0,0,0,1,0,0,0.5012949265253689,0.5012949265253689,0.4987050734746314,0.4985052335884158,0.5014947664115845,0.4987050734746311,-0.4987050734746314,0.0,0.0
573,red,0,1,0,368.3,0,4,0,574,0,0,0,0,0,1,0,0,0.501344802019767,0.501344802019767,0.49865519798023317,0.4985052335884158,0.5014947664115845,0.49865519798023294,-0.49865519798023317,0.0,0.0
574,red,0,1,0,319.3,0,4,0,575,0,0,0,0,0,1,0,0,0.501394672526117,0.501394672526117,0.49860532747388314,0.4985052335884158,0.5014947664115845,0.498605327473883,-0.49860532747388314,0.0,0.0
575,green,1,1,1,402.4,0,4,1,576,0,0,0,0,0,1,0,0,0.5014947664115845,0.5014445380449177,0.4985554619550825,0.4985052335884158,0.5014947664115845,0.0,0.0,-0.4985052335884158,0.4985052335884155
576,red,0,1,0,343.2,0,4,0,577,0,0,0,0,0,1,0,0,0.5014445380449177,0.5014445380449177,0.4985554619550825,0.4984553780800046,0.5015446219199957,0.49855546195508227,-0.4985554619550825,0.0,0.0
577,green,1,1,1,350.2,0,4,1,578,0,0,0,0,0,1,0,0,0.5015446219199957,0.5014943985766679,0.4985056014233324,0.4984553780800046,0.5015446219199957,0.0,0.0,-0.4984553780800046,0.4984553780800043
578,red,1,0,1,355.2,1,4,1,579,0,0,0,0,0,1,0,0,0.5015944724423574,0.5014943985766679,0.4985056014233324,0.49840552755764284,0.5015944724423574,0.0,0.0,0.5015944724423571,-0.5015944724423574
579,green,1,1,1,552.2,0,4,1,580,0,0,0,0,0,1,0,0,0.5015443079791685,0.5014943985766679,0.4985056014233324,0.4984556920208318,0.5015443079791685,0.0,0.0,-0.4984556920208318,0.4984556920208315
580,red,0,1,0,357.2,0,4,0,581,0,0,0,0,0,1,0,0,0.5014943985766679,0.5014943985766679,0.4985056014233324,0.4984058414670728,0.5015941585329275,0.4985056014233321,-0.4985056014233324,0.0,0.0
581,red,1,1,0,458.1,1,4,0,582,0,0,0,0,0,1,0,0,0.4984058414670728,0.5015442541218662,0.498455745878134,0.4984058414670728,0.5015941585329275,0.0,0.0,0.5015941585329272,-0.5015941585329275
582,red,0,1,0,433.2,0,4,0,583,0,0,0,0,0,1,0,0,0.5015442541218662,0.5015442541218662,0.498455745878134,0.4984560058988677,0.5015439941011327,0.4984557458781338,-0.498455745878134,0.0,0.0
583,green,1,1,1,514.1,0,4,1,584,0,0,0,0,0,1,0,0,0.5015439941011327,0.5015941046810115,0.49840589531898877,0.4984560058988677,0.5015439941011327,0.0,0.0,-0.4984560058988677,0.4984560058988673
584,red,0,1,0,313.1,0,4,0,585,0,0,0,0,0,1,0,0,0.5015941046810115,0.5015941046810115,0.49840589531898877,0.49840615531371774,0.5015938446862827,0.4984058953189885,-0.49840589531898877,0.0,0.0
585,red,0,1,0,294.0,0,4,0,586,0,0,0,0,0,1,0,0,0.5016439502546024,0.5016439502546024,0.49835604974539793,0.49840615531371774,0.5015938446862827,0.4983560497453976,-0.49835604974539793,0.0,0.0
