,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
511,red,1,1,0,473.3,1,4,0,512,0,0,0,0,0,1,0,0,0.30577193493443056,0.8763696692513598,0.12363033074864016,0.30577193493443056,0.6942280650655694,0.0,0.0,0.6942280650655694,-0.6942280650655694
512,green,1,1,1,382.2,0,4,1,513,0,0,0,0,0,1,0,0,0.17772794014487425,0.6627231635564732,0.3372768364435268,0.8222720598551257,0.17772794014487425,0.0,0.0,-0.8222720598551257,0.8222720598551257
513,red,0,1,0,355.2,0,4,0,514,0,0,0,0,0,1,0,0,0.5703532460798342,0.5703532460798342,0.4296467539201658,0.2105082274697888,0.7894917725302112,0.4296467539201658,-0.4296467539201658,0.0,0.0
514,green,1,1,1,376.3,0,4,1,515,0,0,0,0,0,1,0,0,0.6251615656048689,0.8900069927928503,0.10999300720714966,0.3748384343951311,0.6251615656048689,0.0,0.0,-0.3748384343951311,0.3748384343951311
515,red,0,1,0,431.2,0,4,0,516,0,0,0,0,0,1,0,0,0.6686192508621494,0.6686192508621494,0.3313807491378506,0.09596163881084824,0.9040383611891518,0.33138074913785065,-0.3313807491378506,0.0,0.0
516,red,0,1,0,484.2,0,4,0,517,0,0,0,0,0,1,0,0,0.9151638763806346,0.9151638763806346,0.0848361236193654,0.3253142968144897,0.6746857031855104,0.08483612361936543,-0.0848361236193654,0.0,0.0
517,green,1,1,1,451.3,0,4,1,518,0,0,0,0,0,1,0,0,0.5755252417310209,0.978281273461162,0.021718726538837982,0.4244747582689791,0.5755252417310209,0.0,0.0,-0.4244747582689791,0.42447475826897907
518,red,1,1,0,506.4,1,4,0,519,0,0,0,0,0,1,0,0,0.10866893493208712,0.7067845744377494,0.2932154255622506,0.10866893493208712,0.8913310650679129,0.0,0.0,0.8913310650679129,-0.8913310650679129
519,green,1,1,1,515.1,0,4,1,520,0,0,0,0,0,1,0,0,0.22818788544178914,0.5894031662915888,0.4105968337084112,0.7718121145582109,0.22818788544178914,0.0,0.0,-0.7718121145582109,0.7718121145582109
520,red,0,1,0,336.1,0,4,0,521,0,0,0,0,0,1,0,0,0.5386533964861469,0.5386533964861469,0.46134660351385315,0.19759007767329984,0.8024099223267002,0.46134660351385315,-0.46134660351385315,0.0,0.0
521,red,1,1,0,429.1,1,4,0,522,0,0,0,0,0,1,0,0,0.3692532813556676,0.8818915776221077,0.11810842237789226,0.3692532813556676,0.6307467186443324,0.0,0.0,0.6307467186443324,-0.6307467186443324
522,green,1,1,1,388.1,0,4,1,523,0,0,0,0,0,1,0,0,0.16147620745814684,0.6651105567827774,0.3348894432172226,0.8385237925418532,0.16147620745814684,0.0,0.0,-0.8385237925418532,0.8385237925418532
523,green,1,1,1,561.1,0,4,1,524,0,0,0,0,0,1,0,0,0.7853311989096037,0.5713854338733146,0.42861456612668536,0.21466880109039632,0.7853311989096037,0.0,0.0,-0.21466880109039632,0.21466880109039632
524,red,1,1,0,546.0,1,4,0,525,0,0,0,0,0,1,0,0,0.054956930943957705,0.5308634424628924,0.4691365575371076,0.054956930943957705,0.9450430690560423,0.0,0.0,0.9450430690560423,-0.9450430690560423
525,red,0,1,0,457.2,0,4,0,526,0,0,0,0,0,1,0,0,0.5133437877866055,0.5133437877866055,0.4866562122133945,0.7580614117125086,0.24193858828749137,0.4866562122133945,-0.4866562122133945,0.0,0.0
526,red,0,1,0,420.1,0,4,0,527,0,0,0,0,0,1,0,0,0.8754121152575065,0.8754121152575065,0.12458788474249344,0.6115726710636292,0.3884273289363708,0.1245878847424935,-0.12458788474249344,0.0,0.0
527,green,1,1,1,587.1,0,4,1,528,0,0,0,0,0,1,0,0,0.45176163361401384,0.9681045045042957,0.03189549549570428,0.5482383663859861,0.45176163361401384,0.0,0.0,-0.5482383663859861,0.5482383663859862
528,green,0,1,1,513.9,1,4,1,529,0,0,0,0,0,1,0,0,0.297615344510923,0.7023846554890771,0.297615344510923,0.14035340901547866,0.8596465909845215,-0.7023846554890771,0.702384655489077,0.0,0.0
529,green,1,1,1,407.0,0,4,1,530,0,0,0,0,0,1,0,0,0.6554929523511035,0.17981609256556108,0.8201839074344389,0.3445070476488965,0.6554929523511035,0.0,0.0,-0.3445070476488965,0.3445070476488965
530,red,0,1,0,380.0,0,4,0,531,0,0,0,0,0,1,0,0,0.3615687113118331,0.3615687113118331,0.6384312886881669,0.0881965610800356,0.9118034389199644,0.6384312886881669,-0.6384312886881669,0.0,0.0
531,green,0,1,1,465.0,1,4,1,532,0,0,0,0,0,1,0,0,0.16344351888434322,0.8365564811156567,0.16344351888434322,0.3219570708825141,0.6780429291174859,-0.8365564811156567,0.8365564811156567,0.0,0.0
532,red,0,1,0,496.0,0,4,0,533,0,0,0,0,0,1,0,0,0.21416515362208444,0.21416515362208444,0.7858348463779155,0.423023263982759,0.576976736017241,0.7858348463779156,-0.7858348463779155,0.0,0.0
533,red,0,1,0,486.9,0,4,0,534,0,0,0,0,0,1,0,0,0.7988199907653987,0.7988199907653987,0.20118000923460122,0.46671916196145047,0.5332808380385495,0.20118000923460133,-0.20118000923460122,0.0,0.0
534,green,1,1,1,339.9,0,4,1,535,0,0,0,0,0,1,0,0,0.514388947074868,0.9484963077137837,0.05150369228621632,0.485611052925132,0.514388947074868,0.0,0.0,-0.485611052925132,0.48561105292513196
535,green,1,1,1,432.9,0,4,1,536,0,0,0,0,0,1,0,0,0.8756796843990806,0.6939070653056367,0.3060929346943632,0.12432031560091944,0.8756796843990806,0.0,0.0,-0.12432031560091944,0.12432031560091938
536,green,1,1,1,382.2,0,4,1,537,0,0,0,0,0,1,0,0,0.968173004345733,0.5838355842149755,0.4161644157850245,0.031826995654267026,0.968173004345733,0.0,0.0,-0.031826995654267026,0.031826995654267054
