,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
109,red,0,1,0,643.1,0,1,0,110,0,0,1,0,0,0,0,0,0.5011153584686123,0.5011153584686123,0.49888464153138756,0.49877155047632626,0.501228449523674,0.4988846415313877,-0.49888464153138756,0.0,0.0
110,green,1,1,1,492.0,0,1,1,111,0,0,1,0,0,0,0,0,0.501228449523674,0.5012274516563585,0.4987725483436413,0.49877155047632626,0.501228449523674,0.0,0.0,-0.49877155047632626,0.49877155047632604
111,red,0,1,0,440.8,0,1,0,112,0,0,1,0,0,0,0,0,0.5012274516563585,0.5012274516563585,0.4987725483436413,0.49865948269873667,0.5013405173012636,0.4987725483436415,-0.4987725483436413,0.0,0.0
112,green,1,1,1,462.0,0,1,1,113,0,0,1,0,0,0,0,0,0.5013405173012636,0.5013395196581565,0.4986604803418433,0.49865948269873667,0.5013405173012636,0.0,0.0,-0.49865948269873667,0.4986594826987364
113,green,1,1,1,451.1,0,1,1,114,0,0,1,0,0,0,0,0,0.5014525598986144,0.5013395196581565,0.4986604803418433,0.4985474401013859,0.5014525598986144,0.0,0.0,-0.4985474401013859,0.49854744010138563
114,green,0,1,1,655.9,1,1,1,115,0,0,1,0,0,0,0,0,0.4986604803418433,0.5013395196581565,0.4986604803418433,0.4984354226786163,0.5015645773213839,-0.5013395196581565,0.5013395196581567,0.0,0.0
115,red,1,1,0,559.0,1,1,0,116,0,0,1,0,0,0,0,0,0.4984354226786163,0.5012268748897605,0.4987731251102393,0.4984354226786163,0.5015645773213839,0.0,0.0,0.5015645773213837,-0.5015645773213839
116,red,0,1,0,693.9,0,1,0,117,0,0,1,0,0,0,0,0,0.5012268748897605,0.5012268748897605,0.4987731251102393,0.49854811801467624,0.501451881985324,0.4987731251102395,-0.4987731251102393,0.0,0.0
117,green,1,1,1,730.6,0,1,1,118,0,0,1,0,0,0,0,0,0.501451881985324,0.5013389430211508,0.498661056978849,0.49854811801467624,0.501451881985324,0.0,0.0,-0.49854811801467624,0.498548118014676
118,red,1,1,0,535.8,1,1,0,119,0,0,1,0,0,0,0,0,0.49843610043958797,0.5013389430211508,0.498661056978849,0.49843610043958797,0.5015638995604123,0.0,0.0,0.501563899560412,-0.5015638995604123
119,red,1,1,0,470.6,1,1,0,120,0,0,1,0,0,0,0,0,0.49854879562336346,0.5013389430211508,0.498661056978849,0.49854879562336346,0.5014512043766368,0.0,0.0,0.5014512043766366,-0.5014512043766368
120,red,0,1,0,435.9,0,1,0,121,0,0,1,0,0,0,0,0,0.5013389430211508,0.5013389430211508,0.498661056978849,0.4986614654859297,0.5013385345140705,0.4986610569788492,-0.498661056978849,0.0,0.0
