"","sub","v_80_RT_part_1","v_80_RT_part_2","v_80_RT_part_3","v_20_RT_part_1","v_20_RT_part_2","v_20_RT_part_3","s_80_RT_part_1","s_80_RT_part_2","s_80_RT_part_3","s_20_RT_part_1","s_20_RT_part_2","s_20_RT_part_3"
"22","25",45.140625,33.2339682539683,-0.620312500000011,-2.0859375,-2.61841269841267,-19.504375,63.0734126984127,46.8184946236559,7.90387096774191,9.140625,8.40349206349208,7.82968750000009
"23","26",50.2263157894737,42.5142857142857,79.2875,24.0488524590164,11.0485472154964,36.5233333333333,49.5448717948718,77.1213836477987,58.3925925925926,23.3938461538461,-6.84676870748302,-61.7712307692308
"24","28",26.4086693548387,36.186987704918,50.660685483871,19.3868055555556,23.0575956284153,18.7131048387097,31.9960317460317,33.2324731182796,33.550496031746,10.5640625,4.48793650793652,-21.653125
"25","29",44.8533333333334,24.2880952380952,-13.4745355191258,29.0380645161291,2.91715846994538,-8.2315053763441,50.5770491803279,43.9969047619048,41.6483333333333,8.45831381733018,2.44738095238097,47.5490632318501
"26","30",46.4510110294117,13.8150793650793,-55.5143849206349,2.67787698412701,4.7136507936508,16.4501587301587,87.5050403225806,76.8997983870968,197.005053763441,-0.664516129032279,-50.5899453551913,-218.240881147541
"27","31",56.6967261904762,62.3447311827957,46.055238095238,20.816935483871,0.0731147540983557,-41.7657258064516,52.3676587301588,60.0729032258064,5.75999999999999,11.4114087301588,-12.4333333333333,-146.004637096774
"28","32",60.0983333333333,28.6116666666667,29.4675,-9.91396825396828,-52.8318279569892,-48.4261290322581,26.06875,22.5088888888889,11.0388888888889,-89.0457661290322,-120.418951612903,-169.009677419355
"29","33",62.6063276836159,31.3076354679803,62.6177966101695,-6.51041162227602,-33.3929708222812,-101.335467980296,83.82,81.9868480725624,31.2560090702948,-0.820355731225277,-26.5061264822134,-40.940909090909
"30","34",71.6230158730159,61.9200879765395,57.0794871794872,1.70181451612905,-4.54710382513662,-110.301092896175,84.766253101737,65.4459677419355,122.949007444169,15.8560215053764,9.86175115207374,-27.0130107526882
"31","35",15.0758064516129,-8.53836065573768,-17.2884153005464,-7.88579234972678,-40.3583333333333,-58.4377049180328,24.567311827957,7.98120218579237,87.5774193548386,-32.6696428571429,-67.8963636363637,-152.092994505495
"32","36",42.1155208333333,35.32043715847,31.5311111111111,-10.1481971153846,-23.4444444444445,-21.3674603174604,41.7078125,43.2576112412178,31.895376344086,-27.2598924731183,-36.14,-53.3967213114754
