P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,subject
-88.50183746687625,-5.650462229582952,6.6915786340232755,-7.322639406578633,213.52460371183136,225.14754024959785,206.0006945662182,-88.50183746687631,-5.650462229582903,6.691578634023259,-7.322639406578568,213.52460371183133,225.14754024959808,206.00069456621827,3.688091024468313e-13,0.335996566901241,0.18345340283352896,0.7305023434464468,2.862901632623416e-146,8.164505153225431e-132,1.5964152083760203e-138,3.688091024468005e-13,0.33599656690124524,0.18345340283353,0.730502343446449,2.8629016326229273e-146,8.164505153228221e-132,1.5964152083760203e-138,0.048541841919850885,-8366.241248905797,16738.482497811594,16753.915719352557,31868.404571823205,SR_Q_D_E_WOB,0.4260003631744504,0.37352625949996704,0.8443230839388209,sub36
-43.19845780804447,15.479909568590827,10.220005035495786,2.472411512216272,173.6392357103734,170.06527312535866,165.74855816973434,-43.19845780804439,15.479909568590804,10.220005035495724,2.4724115122164463,173.63923571037338,170.06527312535871,165.7485581697344,2.0053681763555736e-09,8.65718893079188e-08,4.121612757902119e-05,0.6756446335221276,6.927228572332337e-238,5.886751985447289e-208,4.676916387258561e-218,2.0053681763557266e-09,8.657188930792773e-08,4.121612757902582e-05,0.6756446335221061,6.927228572325243e-238,5.886751985448962e-208,4.676916387258561e-218,0.07053344186648935,-7549.157194516938,15104.314389033876,15119.778235104617,7767.546642089845,SR_Q_D_E_WOB,0.11738710846778942,0.1253298046506965,0.8555197035202691,sub37
-42.87799431105468,5.40060462152605,3.955538073909856,-11.891367302016356,174.0351572437324,179.91898676405162,179.4013993891666,-42.87799431105485,5.400604621526225,3.955538073909868,-11.891367302016304,174.0351572437324,179.91898676405162,179.40139938916644,1.1656017985166911e-12,0.052792418312797296,0.09832118990365166,0.03145722577108348,6.7375260829920815e-301,3.2508915916215663e-259,1.1942749762504034e-300,1.1656017985164758e-12,0.052792418312789684,0.09832118990365056,0.031457225771084174,6.737526082992847e-301,3.2508915916215663e-259,1.1942749762499965e-300,0.05955203645634699,-7237.6565811489645,14481.313162297933,14496.676919657664,7006.69534735214,SR_Q_D_E_WOB,0.4835515116717186,0.6732941589235028,0.7092177596697943,sub38
-82.03904117250872,-0.3640006059781058,16.35244841565785,29.668716736479816,155.01895279740802,147.98441083156618,134.81471991844018,-82.03904117250879,-0.3640006059781333,16.352448415657935,29.66871673647977,155.0189527974082,147.98441083156627,134.81471991844032,3.310672821812295e-57,0.8857050862404742,1.1135207199674582e-13,0.00012210619350200728,3.521869861573454e-302,7.413918271672536e-250,2.4120491005145067e-254,3.310672821811775e-57,0.8857050862404654,1.1135207199671404e-13,0.0001221061935020101,3.52186986157025e-302,7.413918271670007e-250,2.4120491005150556e-254,0.24503896755503995,-7337.229798996403,14680.459597992807,14695.90463522451,5994.80041141004,SR_Q_D_E_WOB,0.5331374740980553,0.5290831495662073,0.5151376993985172,sub39
-48.44548976689593,1.2201501705129478,-7.927918543528259,-1.0301068322093618,170.10599251097852,185.51000498951603,174.17120455352241,-48.44548976689599,1.2201501705129747,-7.927918543528276,-1.030106832209322,170.10599251097852,185.51000498951598,174.1712045535224,5.788474831708242e-10,0.5702463892566885,1.967024808761219e-05,0.8328015141198268,1.8582568025616982e-241,4.0759563910992495e-249,3.3817846566366754e-245,5.788474831708008e-10,0.5702463892566798,1.9670248087611303e-05,0.8328015141198329,1.8582568025591614e-241,4.0759563910973957e-249,3.3817846566355218e-245,0.08656753650841575,-7188.764683020686,14383.529366041372,14398.997895953811,4346.144614437744,SR_Q_D_E_WOB,0.1944897117212567,0.6267636013352663,0.8680481803062893,sub40
-42.31805074613412,-3.9139058601523953,-5.157384240764462,12.608013329122253,192.31008560354041,195.01244460799703,186.36920738858646,-42.31805074613412,-3.9139058601524437,-5.157384240764603,12.608013329122276,192.31008560354041,195.0124446079969,186.36920738858657,1.854532122013169e-39,0.07623711275306988,0.0066695497554846404,0.05687093885105424,0.0,0.0,0.0,1.8545321220134075e-39,0.07623711275306619,0.006669549755483182,0.05687093885105375,0.0,0.0,0.0,0.15643170804268136,-7199.217128157233,14404.434256314466,14419.893411219276,4575.647125371398,SR_Q_D_E_WOB,0.7703334939731278,0.4418551177343445,0.2585740108583133,sub09
-33.112512307666634,5.000456240397831,7.151651820156291,32.57187553045636,191.36566315251503,188.93714956522857,178.43557708671867,-33.112512307666826,5.000456240397783,7.1516518201562365,32.571875530456055,191.3656631525149,188.93714956522868,178.43557708671864,3.703862849755136e-11,0.06256315693741893,0.0017301730162555275,0.03538140592489071,1.693166730945418e-294,0.0,4.00202026607033e-274,3.7038628497539385e-11,0.06256315693742139,0.0017301730162556715,0.03538140592489228,1.693166730945611e-294,0.0,4.0020202660694184e-274,0.06242882547298845,-7438.273119434322,14882.546238868645,14898.00774027338,6591.338418012262,SR_Q_D_E_WOB,0.4435229815084569,0.23814535285961766,0.06311798845971972,sub10
-44.24395306807665,-4.007007191171857,-3.9027735294431976,-3.893053386511216,193.00052217173126,191.07242258507046,183.9289738537514,-44.24395306807658,-4.007007191171822,-3.9027735294432016,-3.893053386511245,193.0005221717309,191.07242258507068,183.9289738537513,1.2870717161915519e-18,0.2581820203055417,0.20293411583657495,0.4687364596289914,2.522838629755323e-238,1.1329487546441657e-296,6.471883162926253e-226,1.2870717161917556e-18,0.25818202030554593,0.2029341158365743,0.4687364596289884,2.5228386297561835e-238,1.1329487546441655e-296,6.4718831629255164e-226,0.06954511005616504,-7782.717853663737,15571.435707327473,15586.88545783587,11847.585726090316,SR_Q_D_E_WOB,0.8934806974543305,0.9999996981959356,0.6865959102148642,sub11
-109224.14689109797,-0.2617955204314306,13.093851058898938,13.560229563077892,-54423.258548589016,-54428.50142956927,-54427.496699182404,-109224.1468910935,-0.2617957525664547,13.09385089547998,13.560229534595418,-54423.25854877215,-54428.501429565134,-54427.49669921622,1.2462233185422212e-08,0.923897064741496,2.7692055810684902e-08,0.08917185636142569,1.3965435622719273e-08,1.3912976365122658e-08,1.3927607788315883e-08,1.2462233185421487e-08,0.9238969972948026,2.769206651191852e-08,0.08917185704183404,1.3965435622716209e-08,1.391297636512225e-08,1.3927607788315377e-08,0.05431252911714979,-7391.585769019701,14789.171538039402,14804.602390847514,6900.145691708628,SR_Q_D_E_WOB,0.000106297598321543,1.0,0.0001,sub12
-17.556015334689473,1.8681495246722652,2.5502389784493977,-5.369531311606249,153.81350124927974,160.8578474722341,158.66667529799508,-17.556015334689608,1.8681495246722548,2.5502389784495456,-5.369531311606004,153.81350124927985,160.8578474722343,158.66667529799497,9.528755445503195e-11,0.27006928865467383,0.07927415381363895,0.17479764512309148,0.0,0.0,0.0,9.528755445499942e-11,0.2700692886546765,0.07927415381362128,0.17479764512311086,0.0,0.0,0.0,0.04366530256377954,-6862.5155495857825,13731.031099171567,13746.492600576305,2678.9685330471043,SR_Q_D_E_WOB,0.7591441371479524,0.999999423651168,0.00010843346891377456,sub17
