P_diff,congruency,hand,postError,block1,block2,block3,P,congruency.1,hand.1,postError.1,block1.1,block2.1,block3.1,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,p,CONGRUENCY.1,HAND.1,POSTeRROR.1,BLOCK1.1,BLOCK2.1,BLOCK3.1,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,ccc,alpha_ccc,subject
-63.22402555013801,-3.511029033465803,5.9820553786140245,6.780349167032077,223.98439458862103,234.89182277016246,215.32282901708922,-63.224025550137966,-3.5110290334658583,5.982055378614106,6.780349167032362,223.98439458862092,234.89182277016238,215.32282901708916,2.844737913818524e-12,0.5461260110287257,0.23325873153215665,0.7614443730046192,2.158633509608542e-186,2.8355979125343302e-157,8.76646054334651e-174,2.8447379138186804e-12,0.5461260110287199,0.23325873153215,0.7614443730046094,2.1586335096091567e-186,2.8355979125343302e-157,8.76646054334651e-174,0.04657137246100507,-8235.598928084723,16479.197856169445,16499.718250209946,31245.5181612038,SR_Q_D_alphaCCC_WOB,0.7332588952946661,0.8524312452094066,-0.2356115039003768,0.04260625859680859,sub36
-190696.58195505547,11.435299962896902,10.441258021172446,-2.158377021078964,-95152.36017960194,-95153.906534436,-95157.97985902848,-190696.58195506746,11.435299820379832,10.441258124245063,-2.1583770700993306,-95152.36017963963,-95153.90653482836,-95157.97985897887,9.336691499990801e-24,1.6008836621475707e-05,2.3408396146605413e-06,0.6843822059011502,1.1372825955819484e-23,1.1330894246368973e-23,1.1308798899560144e-23,9.336691499990932e-24,1.6008840775837176e-05,2.340839083308341e-06,0.6843821991248273,1.1372825955818998e-23,1.1330894246364988e-23,1.130879889955974e-23,0.1305596861536149,-7010.374455648536,14028.748911297072,14049.168773090152,5851.0772317900755,SR_Q_D_alphaCCC_WOB,0.0001,1.0,-0.8591402375518794,1.0,sub37
-27.926290852336518,9.240519285787503,5.354706077216996,-12.277454034202847,180.12546939429646,185.40901962497512,185.88528646636917,-27.926290852336532,9.240519285787624,5.354706077216852,-12.277454034202805,180.12546939429637,185.4090196249751,185.88528646636928,8.266746726200836e-08,0.0016426568866410392,0.0285114222419273,0.028337035194775137,4.496e-320,2.2416922294865408e-273,0.0,8.266746726200576e-08,0.001642656886640812,0.028511422241931594,0.028337035194775713,4.496e-320,2.241692229485521e-273,0.0,0.053589682063389536,-6870.823230581404,13749.646461162807,13769.925957676644,6954.499707217575,SR_Q_D_alphaCCC_WOB,0.10489508593860676,0.23461622758810974,-0.08139003068946538,0.7711816353610426,sub38
-46.91489214280794,-0.6745077857237538,16.859603501282617,15.461170701487706,171.37732057013238,165.69081013347943,152.44336371382892,-46.91489214280794,-0.6745077857238231,16.85960350128263,15.461170701487598,171.37732057013255,165.69081013347954,152.44336371382892,1.821640336376516e-36,0.7955422802374446,3.535548380401846e-14,0.04886350327238799,0.0,0.0,0.0,1.8216403363764118e-36,0.7955422802374239,3.5355483804016816e-14,0.0488635032723896,0.0,0.0,0.0,0.18792228266858346,-7180.434943856366,14368.869887712732,14389.377450948325,5985.977152108434,SR_Q_D_alphaCCC_WOB,0.5413293870210079,0.0912630723875209,-0.3737116510380014,0.6401046732923336,sub39
-23.024451107544678,2.677931080599377,-7.998068535135344,0.08648212622528817,184.15201090460812,197.81875582346225,187.2521671241547,-23.02445110754462,2.677931080599302,-7.998068535135398,0.08648212622524554,184.152010904608,197.81875582346217,187.25216712415448,7.980322598782389e-18,0.20916770677006705,9.114361446648844e-06,0.985616278851532,0.0,0.0,0.0,7.980322598783768e-18,0.2091677067700798,9.114361446647727e-06,0.985616278851539,0.0,0.0,0.0,0.11607956375198847,-6860.986705996532,13729.973411993064,13750.445476810923,3952.2351462188617,SR_Q_D_alphaCCC_WOB,0.9758096020047332,0.3604964546863619,-0.6855625809615825,0.4414555293739111,sub40
-35.471270362327935,-6.20456907924302,-4.566454900068246,11.035616854160645,195.74660125867385,197.54532333661572,190.4659951387633,-35.471270362327814,-6.2045690792429555,-4.566454900068347,11.035616854160665,195.74660125867385,197.54532333661575,190.46599513876373,6.319102621749931e-37,0.005798949651568139,0.017357251342182797,0.09553729908591717,0.0,0.0,0.0,6.319102621752912e-37,0.005798949651568624,0.017357251342180326,0.09553729908591613,0.0,0.0,0.0,0.15250059468034305,-7046.091560924794,14100.183121849588,14120.709915891455,4568.122841551951,SR_Q_D_alphaCCC_WOB,0.9999410028110344,0.9999995835409516,-0.3294055433648173,0.9999995728304611,sub09
-41.01240745918849,4.507709507603028,7.099770311357125,36.14380344410587,187.6014185007009,184.7434829828233,174.4219592561127,-41.012407459188545,4.507709507602902,7.099770311357262,36.14380344410577,187.6014185007009,184.74348298282345,174.42195925611267,5.163997922443409e-13,0.09021105934979902,0.001851125882632787,0.01908604761761986,7.694165137627508e-268,2.078858214585e-311,6.01689685782438e-246,5.163997922442775e-13,0.09021105934980823,0.0018511258826323887,0.019086047617620186,7.694165137630134e-268,2.078858214587e-311,6.016896857820957e-246,0.06888959647463877,-7386.662048785283,14781.324097570568,14801.914334655325,6539.128085660897,SR_Q_D_alphaCCC_WOB,0.4922321011122193,0.6310053013016138,-0.9604055359772006,0.4981941937149018,sub10
-90.19192430548605,-3.043041788202377,-5.488931594325054,1.2750057910713153,173.52060394779625,170.19662924525176,164.81836503710406,-90.19192430548624,-3.0430417882021517,-5.488931594324894,1.2750057910711377,173.52060394779625,170.19662924525176,164.81836503710431,5.283710431592322e-19,0.3688589761391401,0.05029629907514835,0.8026283564052749,4.037194030598473e-130,1.0859338636737497e-154,2.0164291739765192e-119,5.283710431591371e-19,0.3688589761391742,0.050296299075155024,0.8026283564053018,4.037194030599162e-130,1.0859338636734411e-154,2.016429173978126e-119,0.0822874997578239,-6896.114226678519,13800.228453357038,13820.435875848862,8986.1370740116,SR_Q_D_alphaCCC_WOB,0.2477745466680617,0.39796806772152143,-0.5253464885086288,0.2197332893639423,sub11
-115750.44439769404,-2.1971503431094908,12.921189684888196,-2.6203166756086205,-57684.835068058026,-57691.837039711434,-57689.98192011115,-115750.44439769367,-2.1971505439026333,12.9211898079397,-2.6203167119275084,-57684.83506801562,-57691.83703973024,-57689.98192010651,2.510178666789236e-10,0.3774930093883351,1.351561274264599e-09,0.7227274733441789,2.866284426638445e-10,2.8502619523159915e-10,2.8554841140458774e-10,2.5101786667892537e-10,0.3774929648847896,1.351560802175977e-09,0.7227274696702279,2.866284426638727e-10,2.850261952315971e-10,2.8554841140457213e-10,0.06601502703845298,-7082.326267415351,14172.652534830702,14193.134312320271,5505.50689470493,SR_Q_D_alphaCCC_WOB,0.0001,1.0,-0.25464332735855433,1.0,sub12
-10.046893543898292,2.3048911696078056,2.611313123510437,-5.801968542941529,157.5112024143129,164.95843716296372,163.08869095274315,-10.046893543898342,2.3048911696078034,2.61131312351046,-5.8019685429415775,157.51120241431298,164.95843716296366,163.08869095274284,1.0925162602543314e-06,0.19075859174298188,0.07905482318412167,0.15356286276220948,0.0,0.0,0.0,1.0925162602541857e-06,0.1907585917429824,0.0790548231841192,0.15356286276220646,0.0,0.0,0.0,0.033271915853348766,-6627.511963457976,13263.023926915952,13283.495991733811,2707.087216947237,SR_Q_D_alphaCCC_WOB,0.9045898572293678,0.2423992891590637,-0.7585367715762188,0.8528611845714471,sub17
