α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.7,0.4,0.37,0.69,0.81,0.29,0.52,0.85,9.55471746734707e6
0.14,0.76,0.7,0.43,0.84,0.96,0.03,0.42,9.571175660249848e6
0.64,0.16,0.66,0.11,0.4,0.43,0.31,0.3,9.452333779487055e6
0.19,0.19,0.2,0.16,0.5,0.78,0.5,0.13,9.43950436779062e6
0.45,0.31,0.14,0.72,0.49,0.5,0.23,0.84,9.43947781234673e6
0.12,0.44,0.29,0.79,0.88,0.54,0.73,0.46,9.518713603584897e6
0.72,0.28,0.67,0.18,0.25,0.32,0.08,0.81,9.429829980470961e6
0.95,0.18,0.6,0.66,0.97,0.4,0.19,0.82,9.613997212619197e6
0.5,0.9,0.08,1.0,0.77,0.17,0.5,0.76,9.605063186124327e6
0.52,0.43,0.52,0.43,0.85,0.87,0.9,0.2,9.585856622626355e6
0.91,0.62,0.21,0.65,0.55,0.58,0.99,0.36,9.510030099893512e6
0.62,0.41,0.3,0.69,0.5,0.17,0.43,0.64,9.499459020355558e6
0.68,0.74,0.22,0.95,0.21,0.36,0.55,0.43,9.38956161128474e6
0.01,0.15,0.84,0.44,0.04,0.24,0.73,0.38,9.85001262317495e6
0.4,0.78,0.85,0.81,0.16,0.1,0.79,0.52,9.54545762709453e6
0.82,0.47,0.74,0.48,0.79,0.67,0.8,0.94,9.56438875803752e6
0.52,0.63,0.79,0.02,0.45,0.97,0.21,0.98,9.488914419853603e6
0.36,0.77,0.21,0.36,0.04,0.02,0.73,0.93,9.44630695180038e6
0.2,0.16,0.53,0.24,0.81,0.05,0.53,0.44,9.624782414357089e6
0.57,0.8,0.17,0.87,0.3,0.59,0.77,0.18,9.44310482376435e6
0.35,0.29,0.33,0.35,0.01,0.12,0.76,0.23,9.428195636264985e6
0.4,0.35,0.04,0.33,0.93,0.37,0.08,0.2,9.568536458972082e6
0.62,0.34,0.45,0.44,0.65,0.15,0.67,0.25,9.515092147793584e6
0.16,0.97,0.18,0.79,0.21,0.6,0.02,0.25,9.374817645114234e6
0.73,0.34,0.44,0.91,0.09,0.29,0.01,0.89,9.349394563917471e6
0.17,0.82,0.35,0.2,0.08,0.26,0.4,0.67,9.404237471804865e6
0.75,0.7,0.43,0.91,0.73,0.62,0.41,0.79,9.532087905769365e6
0.97,0.9,0.76,0.02,0.91,0.26,0.52,0.16,9.59879870556085e6
0.12,0.12,0.68,0.87,0.53,0.25,0.99,0.9,9.626201285263544e6
0.01,0.58,0.69,0.47,0.08,0.96,0.08,0.11,9.69937208907475e6
0.53,0.66,0.84,0.3,0.15,0.1,0.88,0.27,9.51534051064054e6
0.95,0.75,0.2,0.84,0.25,0.97,0.77,0.14,9.480962083285498e6
0.48,0.23,0.29,0.98,0.01,0.5,0.27,0.77,9.777044142664429e6
0.62,0.7,0.45,0.81,0.79,0.35,0.95,0.97,9.537621256410215e6
0.07,0.59,0.7,0.62,0.24,0.83,0.84,0.24,9.648970043442285e6
0.41,0.56,0.83,0.97,0.37,0.46,0.92,0.52,9.520881668511834e6
0.92,0.83,0.2,0.08,0.99,0.86,0.91,0.54,9.565839263119027e6
0.05,0.21,0.11,0.61,0.18,0.66,0.63,0.67,9.409131126515502e6
