α_v,α_s,decay,MSE
0.1,0.45,0.33,4.251511339225789e6
0.96,0.18,0.68,4.266710072670892e6
0.01,0.56,0.32,4.273128458164258e6
0.91,0.78,0.77,4.271428311954697e6
0.64,0.7,0.37,4.266407679527853e6
0.77,0.31,0.38,4.263247687409261e6
0.07,0.02,0.85,4.230892958778061e6
0.3,0.72,0.67,4.262036382261715e6
0.9,0.49,0.45,4.267534189915485e6
0.75,0.1,0.34,4.260569103910031e6
0.45,0.27,0.96,4.25634539203783e6
0.93,0.41,0.86,4.267406212989764e6
0.96,0.18,0.24,4.266710072670892e6
0.8,0.1,0.83,4.2618307066484885e6
0.98,0.21,0.37,4.26733561478068e6
0.9,0.33,0.35,4.266180960718273e6
0.38,0.27,0.82,4.2546656372491885e6
0.47,0.15,0.1,4.255040409495085e6
0.91,0.13,0.17,4.265080322088389e6
0.45,0.96,0.01,4.27009581177729e6
0.6,0.18,0.87,4.258430658935965e6
0.84,0.72,0.72,4.269499131646847e6
0.38,0.57,0.23,4.260078043132002e6
0.42,0.65,0.7,4.262497463321615e6
0.51,0.98,0.57,4.271061108295175e6
0.28,0.14,0.23,4.248822336290592e6
0.49,0.32,0.7,4.25784711519172e6
0.74,0.48,0.29,4.2644390935314875e6
0.33,0.32,0.46,4.254088065707575e6
0.24,0.91,0.92,4.26591867480918e6
0.41,0.4,0.28,4.257430017595467e6
0.07,0.82,0.81,4.263285542380147e6
0.67,0.25,0.27,4.260635056972153e6
0.15,0.37,0.8,4.249522804517182e6
0.45,0.33,0.23,4.257176808553974e6
0.18,0.58,0.67,4.255650447372514e6
0.39,1.0,0.95,4.270449051242759e6
0.83,0.28,0.39,4.264308395741346e6
0.56,0.61,0.11,4.26365753475591e6
0.12,0.59,0.45,4.255382505721849e6
0.76,0.81,0.52,4.269947088028559e6
0.35,0.79,0.73,4.264720165076054e6
0.09,0.11,0.26,4.239929983671008e6
0.37,0.94,0.58,4.268762497961195e6
0.18,0.33,0.37,4.249296742132347e6
0.34,0.43,0.43,4.256360719547516e6
0.53,0.64,0.51,4.263829876621647e6
0.11,0.63,0.79,4.256634607496384e6
0.89,0.72,0.73,4.270243745834543e6
0.63,0.84,0.23,4.269081302364025e6
0.49,0.7,0.64,4.26455575247727e6
0.93,0.86,0.66,4.272918201729504e6
0.59,0.46,0.11,4.261596521404178e6
0.88,0.78,0.11,4.27100814044117e6
0.82,0.8,0.11,4.270526594296584e6
0.94,0.78,0.68,4.271854086055322e6
0.09,0.29,0.81,4.2468497826305255e6
0.27,0.24,0.91,4.25066225743131e6
0.71,0.38,0.91,4.262711637447656e6
0.57,0.92,0.61,4.270224541357291e6
0.12,0.57,0.76,4.254806105158929e6
0.15,0.65,0.84,4.257161430959726e6
0.89,0.42,0.42,4.266672467783015e6
0.12,0.49,0.48,4.252517044849568e6
0.42,0.12,0.28,4.253009784664901e6
0.65,0.18,0.02,4.25951771297545e6
0.45,0.78,0.45,4.265859407411274e6
0.4,0.83,0.58,4.266431216551053e6
0.93,0.64,0.83,4.269789797656728e6
0.59,0.51,0.75,4.262364295646462e6
0.35,0.27,0.27,4.253838929714403e6
0.22,0.36,0.32,4.251291998256017e6
0.6,0.73,0.78,4.266502117975833e6
0.72,0.32,0.44,4.262304825448519e6
0.26,0.07,0.02,4.244625334182013e6
0.27,0.31,0.7,4.25198925809816e6
0.84,0.39,0.02,4.26538854459209e6
0.18,0.1,0.56,4.242491487722363e6
0.79,0.62,0.67,4.267210488824312e6
0.91,0.84,0.53,4.272350558990641e6
0.48,0.03,0.28,4.252384349643571e6
0.52,0.83,0.37,4.267766330817749e6
0.68,0.56,0.09,4.264557368860225e6
0.84,0.42,0.64,4.26566673123151e6
0.17,0.08,0.26,4.240673254613083e6
0.43,0.92,0.99,4.268955667919148e6
0.2,0.15,0.13,4.245601900224235e6
0.09,0.92,0.39,4.26527900364084e6
0.08,0.05,0.24,4.233714175505225e6
0.74,0.39,0.35,4.263396449785335e6
0.71,0.63,0.54,4.26613280333917e6
0.41,0.93,0.42,4.26898370838726e6
0.43,0.85,0.6,4.267278852836182e6
0.9,0.22,0.01,4.265521555665126e6
0.86,0.64,0.4,4.268629323897898e6
0.54,0.67,0.64,4.264559858268147e6
0.45,0.18,0.02,4.255087312965995e6
0.59,0.6,0.49,4.263891531655603e6
0.11,0.76,0.34,4.260414428719226e6
0.03,0.62,0.59,4.26220956196812e6
0.4,0.71,0.04,4.263555280107554e6
0.96,0.58,0.77,4.2696030178610915e6
0.63,0.91,0.64,4.270537405146696e6
0.46,0.78,0.19,4.265978412713162e6
0.47,0.67,0.41,4.26365020440795e6
0.2,0.32,0.74,4.249717813707544e6
0.1,0.21,0.47,4.244383114760561e6
0.39,0.44,0.81,4.25770550396184e6
0.32,0.47,0.03,4.256653478674261e6
0.23,0.12,0.72,4.245886179570182e6
0.59,0.33,0.31,4.259879414463132e6
0.65,1.0,0.54,4.272558197657803e6
0.47,0.08,0.66,4.252922590018613e6
0.74,0.72,0.56,4.268084445478028e6
0.31,0.67,0.69,4.26098631864907e6
0.43,0.62,0.97,4.262002583315651e6
0.82,0.85,0.21,4.271385650959364e6
0.46,0.39,0.95,4.258272069010554e6
0.44,0.03,0.49,4.251052317266451e6
0.39,0.23,0.77,4.254329892915488e6
0.22,0.42,0.25,4.252649952287926e6
0.56,0.03,0.1,4.254834206713474e6
0.8,0.58,0.46,4.266803466886595e6
0.11,0.23,0.81,4.245098245794797e6
0.49,0.65,0.16,4.263498423209457e6
0.78,0.07,0.58,4.260602326280292e6
0.58,0.62,0.21,4.264117827000416e6
0.06,0.19,0.9,4.243794619000756e6
0.09,0.71,0.23,4.259385634920297e6
1.0,0.66,0.73,4.271203908658737e6
0.65,0.84,0.62,4.269286956675669e6
0.2,0.31,0.09,4.249492453687929e6
0.23,0.98,0.24,4.267609611456749e6
0.76,0.59,0.76,4.266285652653448e6
0.1,0.84,0.52,4.26286474098179e6
0.05,0.89,0.93,4.266457388949646e6
0.52,0.35,0.69,4.258824155855765e6
0.17,0.84,0.9,4.2627974767919e6
0.89,0.27,0.57,4.265579084179422e6
0.76,0.6,0.61,4.2664337259787e6
0.8,0.09,0.4,4.261610496139398e6
0.53,0.56,0.42,4.262308880132871e6
0.96,0.43,0.69,4.268179982104707e6
0.09,0.55,0.82,4.2546666899314355e6
0.82,0.81,0.91,4.270696680705447e6
0.6,0.5,0.38,4.262364752879714e6
0.6,0.45,0.44,4.261617753388982e6
0.33,0.09,0.28,4.248889233402882e6
0.58,0.15,0.41,4.257560454100568e6
0.02,0.83,0.65,4.271677554573663e6
0.3,0.5,0.09,4.256776838438134e6
0.74,0.28,0.7,4.262365512633439e6
0.07,0.24,0.51,4.2454523516318025e6
0.17,0.67,0.63,4.257965380913868e6
0.54,0.3,0.28,4.2585695153789725e6
0.64,0.64,0.39,4.265303413519517e6
0.76,0.12,0.52,4.261223263832839e6
0.48,0.68,0.12,4.263997489855468e6
0.23,0.57,0.94,4.256571570511042e6
0.16,0.7,0.55,4.25868470293189e6
0.74,0.29,0.4,4.262449708033299e6
0.63,0.95,0.23,4.27137078672066e6
0.78,0.95,0.27,4.272738816009536e6
0.51,0.3,0.4,4.257982523206884e6
0.38,0.29,0.33,4.254970509183748e6
0.17,0.67,0.05,4.257965380913868e6
0.25,0.21,0.9,4.249286555362637e6
0.72,0.09,0.45,4.259567879128513e6
0.65,0.05,0.86,4.2566751190920975e6
0.55,0.51,0.48,4.261740568282574e6
0.06,0.77,0.86,4.262456755022813e6
0.65,0.98,0.37,4.272152778335805e6
0.28,0.75,0.64,4.262403168200694e6
0.3,0.95,0.61,4.268021038600353e6
0.29,0.9,0.33,4.266555395771655e6
0.59,0.64,0.81,4.2646257392035425e6
0.69,0.72,1.0,4.267421623967664e6
0.87,0.29,0.62,4.265258024471926e6
0.49,0.85,0.81,4.2679187819267465e6
0.78,0.39,0.84,4.26418062703804e6
0.05,0.28,0.65,4.247619769529451e6
0.31,0.27,0.55,4.252609440163627e6
0.4,0.48,0.93,4.25865380716783e6
0.03,0.52,0.32,4.259137826592515e6
0.85,0.58,0.81,4.267657440423667e6
0.42,0.33,0.86,4.256533066047422e6
0.26,0.7,0.97,4.260658064707758e6
0.39,0.41,0.67,4.257169805895782e6
0.81,0.49,0.7,4.265834063743762e6
0.92,0.41,0.63,4.26720042654266e6
0.09,0.7,0.71,4.259094087748261e6
0.65,0.33,0.5,4.261021226602696e6
1.0,0.79,0.76,4.272851515841413e6
0.17,0.01,0.3,4.247222865944022e6
0.91,0.95,0.07,4.274100168442352e6
0.48,0.31,0.01,4.257513611316854e6
0.29,0.01,0.35,4.254666461220368e6
0.21,0.89,0.09,4.264824074821765e6
0.03,0.5,0.6,4.258498247635483e6
0.98,0.87,0.48,4.273705615091756e6
0.31,1.0,0.2,4.269441020281551e6
0.92,0.29,0.85,4.266368496694373e6
0.96,0.2,0.54,4.2668184284008425e6
0.03,0.61,0.01,4.261911742432309e6
0.58,0.36,0.75,4.260057955866364e6
0.85,0.91,0.91,4.272770363542199e6
0.32,0.5,0.27,4.257283862483038e6
0.96,0.16,0.64,4.266581870527006e6
0.66,0.69,0.15,4.266479500170119e6
0.32,0.13,0.19,4.250090658567897e6
0.43,0.34,0.43,4.256901572220805e6
0.47,0.25,0.2,4.256520294253467e6
0.7,0.05,0.69,4.258045199886352e6
0.08,0.59,0.18,4.256171666620859e6
0.83,0.25,0.86,4.264104733686303e6
0.64,0.59,0.5,4.264435248253941e6
0.32,0.4,0.64,4.255258881234409e6
0.53,0.03,0.41,4.253937628552742e6
0.63,0.6,0.68,4.264460288106254e6
0.45,0.53,0.98,4.260509761929527e6
0.41,0.52,0.96,4.259615717107829e6
0.87,0.19,0.66,4.264635026827365e6
0.01,0.01,0.07,4.249791779799584e6
0.78,0.66,0.79,4.267664246810727e6
0.27,0.27,0.73,4.251229120312947e6
0.92,0.51,0.4,4.268120264188385e6
0.43,0.12,0.13,4.253286585584562e6
1.0,0.93,0.25,4.274819290534202e6
0.33,0.54,0.66,4.25838632229103e6
0.15,0.2,0.94,4.2451176026333785e6
0.51,0.04,0.31,4.252735532043763e6
0.02,0.65,0.74,4.267108962216336e6
0.09,0.98,0.88,4.266835320201654e6
0.96,0.44,0.54,4.268260566476766e6
0.73,0.97,0.8,4.272640142428337e6
0.91,0.26,0.15,4.265973060694479e6
0.29,0.4,0.85,4.25439732177719e6
0.07,0.57,0.61,4.255985396249799e6
0.72,0.99,0.31,4.272934858499494e6
0.83,0.51,0.08,4.26643688103834e6
0.82,0.62,0.54,4.26769522333474e6
0.82,0.64,0.37,4.267983493323546e6
0.82,0.1,0.56,4.2623400387353e6
0.82,0.36,0.92,4.264714201353075e6
0.56,0.58,0.68,4.26310614637463e6
0.28,0.03,0.4,4.243996392294724e6
0.74,0.41,0.53,4.263611927657019e6
0.23,0.56,0.63,4.256319009070715e6
1.0,0.39,0.03,4.268715423839286e6
0.41,0.05,0.68,4.249750384453082e6
0.62,0.22,0.3,4.25930220379544e6
0.08,0.67,0.09,4.2585478689718135e6
0.91,0.81,0.33,4.271885158416105e6
0.06,0.65,0.72,4.258969061328417e6
0.13,0.79,0.32,4.261125260313624e6
