α_v,α_s,α_v_error,α_s_error,decay,MSE
0.24,0.15,0.31,0.63,0.58,3.1427619908112258e7
0.67,1.0,0.16,0.7,0.5,3.1373929952131715e7
0.15,0.59,0.46,0.65,0.93,3.133916464204901e7
0.93,0.81,0.66,0.02,0.34,3.141556656515215e7
0.06,0.95,0.22,0.08,0.01,3.1323566703259975e7
0.75,0.74,0.82,0.26,0.46,3.1401593358097978e7
0.01,0.92,0.74,0.02,0.24,3.126351520098972e7
0.55,0.33,0.73,0.15,0.03,3.1402635640543543e7
0.06,0.54,0.16,0.97,0.99,3.135142928329046e7
0.22,0.19,0.72,0.15,0.73,3.1414933107968308e7
0.14,0.77,0.74,0.6,0.31,3.134461468226725e7
0.2,0.85,0.85,0.2,0.04,3.1338993436749127e7
0.68,0.59,0.69,0.68,0.85,3.140489631150899e7
0.01,0.62,0.76,0.33,0.18,3.125352104266164e7
0.12,0.44,0.78,0.94,0.24,3.1375777329762794e7
0.31,0.21,0.07,0.12,0.1,3.137913588647653e7
0.14,0.88,0.13,0.91,0.42,3.1332881464733727e7
0.25,0.58,0.68,0.92,0.17,3.136307468003546e7
0.24,0.14,0.76,0.75,0.99,3.1455180061190616e7
0.73,0.61,0.9,0.38,0.24,3.1412516076443058e7
0.86,0.84,0.76,0.16,0.29,3.1410321058926463e7
0.65,0.31,0.69,0.81,0.44,3.143526939910616e7
0.11,0.31,0.25,0.69,0.88,3.1362121305296686e7
0.89,0.53,0.55,0.97,0.99,3.1444298122034144e7
0.95,0.22,0.24,0.24,0.45,3.1472310646782923e7
0.67,0.54,0.21,0.74,0.04,3.1390688082601413e7
0.89,0.74,0.14,0.38,0.87,3.1402981325602464e7
0.24,0.01,0.55,0.59,0.16,3.1558951881863862e7
0.21,0.61,0.35,0.35,0.13,3.132525985508711e7
0.93,0.24,0.73,0.48,0.68,3.1482946150541827e7
0.8,0.65,0.67,0.5,0.69,3.1415286668936927e7
0.01,0.42,0.85,0.51,0.44,3.125524266580714e7
0.68,0.65,0.73,0.43,0.86,3.1395867891900364e7
0.37,0.98,0.92,0.76,0.74,3.1367977682091907e7
0.2,0.2,0.62,0.78,0.55,3.1417783666030716e7
0.09,0.49,0.78,0.25,0.27,3.1345689400824927e7
0.61,0.98,0.55,0.39,0.5,3.1369445724008344e7
0.24,0.35,0.3,0.69,0.43,3.1362116765515156e7
0.45,0.3,0.62,0.84,0.72,3.140616498856993e7
0.43,0.73,0.5,0.33,0.88,3.1340810230330642e7
0.51,0.31,0.17,0.86,0.8,3.139478669397607e7
0.79,0.88,0.53,0.26,0.85,3.1392578346785832e7
0.48,0.55,0.62,0.13,0.45,3.1358122624386035e7
0.46,0.33,0.46,0.93,0.18,3.1397671486073222e7
0.15,0.21,0.79,0.96,0.77,3.142531998558861e7
0.2,0.32,0.38,0.73,0.42,3.1371154530728266e7
0.41,0.36,0.06,0.12,0.81,3.134717311895892e7
0.35,0.06,0.93,0.74,0.79,3.153695513650444e7
0.8,0.5,0.47,0.59,0.49,3.142231637393561e7
0.15,0.67,0.82,0.47,0.15,3.1346816704967067e7
0.75,0.47,0.03,0.64,0.08,3.1402410881087538e7
0.74,0.03,0.21,0.96,0.8,3.156893712211995e7
0.65,0.02,0.24,0.67,0.02,3.1569173040227976e7
0.87,0.97,0.15,0.58,0.43,3.139926674184163e7
0.04,0.08,0.22,0.12,1.0,3.1514604656522196e7
0.96,0.32,0.43,0.38,0.16,3.1462062457048994e7
0.94,0.21,0.85,0.4,0.89,3.149323031424634e7
0.02,0.4,1.0,0.66,0.71,3.134125255946348e7
0.22,0.46,0.76,0.55,0.1,3.1364424076289684e7
0.49,0.08,0.32,0.5,0.86,3.1501283321875826e7
0.55,0.79,0.09,0.12,0.12,3.133392615842931e7
0.65,0.46,0.45,0.06,0.23,3.138777140592227e7
0.42,0.86,0.59,0.54,0.29,3.1348281828556668e7
0.96,0.78,0.06,0.65,0.25,3.141527926605645e7
0.75,0.5,0.01,0.7,0.61,3.140015478965747e7
0.59,0.1,0.99,0.85,0.06,3.151229186539505e7
0.3,0.43,0.8,0.78,0.51,3.137965138254367e7
0.87,0.92,0.34,0.5,0.4,3.1403559208956487e7
0.88,0.3,0.28,0.9,0.49,3.145896412705515e7
0.78,0.67,0.06,0.39,0.76,3.13860818290406e7
