stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6
green,0,1,1,413.6,1,1,1,137,0,0,1,0,0,0,0,0
green,0,1,1,410.4,1,1,1,138,0,0,1,0,0,0,0,0
red,1,1,0,419.4,1,1,0,139,0,0,1,0,0,0,0,0
red,1,1,0,448.6,1,1,0,140,0,0,1,0,0,0,0,0
red,1,1,0,399.6,1,1,0,141,0,0,1,0,0,0,0,0
green,0,1,1,474.5,1,1,1,142,0,0,1,0,0,0,0,0
red,1,1,0,431.4,1,1,0,143,0,0,1,0,0,0,0,0
green,0,1,1,436.5,1,1,1,144,0,0,1,0,0,0,0,0
green,1,1,1,529.1,0,1,1,145,0,0,1,0,0,0,0,0
red,0,1,0,462.4,0,1,0,146,0,0,1,0,0,0,0,0
red,0,1,0,517.1,0,1,0,147,0,0,1,0,0,0,0,0
red,1,1,0,560.4,1,1,0,148,0,0,1,0,0,0,0,0
red,1,1,0,661.4,1,1,0,149,0,0,1,0,0,0,0,0
red,1,1,0,396.3,1,1,0,150,0,0,1,0,0,0,0,0
green,1,1,1,521.3,0,1,1,151,0,0,1,0,0,0,0,0
red,1,1,0,496.3,1,1,0,152,0,0,1,0,0,0,0,0
green,0,1,1,461.3,1,1,1,153,0,0,1,0,0,0,0,0
green,0,1,1,494,1,1,1,154,0,0,1,0,0,0,0,0
green,0,1,1,443.3,1,1,1,155,0,0,1,0,0,0,0,0
green,1,1,1,586.3,0,1,1,156,0,0,1,0,0,0,0,0
red,1,1,0,545,1,1,0,157,0,0,1,0,0,0,0,0
red,1,1,0,559.9,1,1,0,158,0,0,1,0,0,0,0,0
red,0,1,0,501.2,0,1,0,159,0,0,1,0,0,0,0,0
green,0,1,1,547.9,1,1,1,160,0,0,1,0,0,0,0,0
green,0,1,1,804.2,1,2,1,161,0,0,0,1,0,0,0,0
green,0,1,1,433.2,1,2,1,162,0,0,0,1,0,0,0,0
green,0,1,1,374.3,1,2,1,163,0,0,0,1,0,0,0,0
red,0,1,0,451.3,0,2,0,164,0,0,0,1,0,0,0,0
red,0,1,0,384.2,0,2,0,165,0,0,0,1,0,0,0,0
red,1,1,0,407.7,1,2,0,166,0,0,0,1,0,0,0,0
red,1,1,0,454.2,1,2,0,167,0,0,0,1,0,0,0,0
red,1,1,0,363.2,1,2,0,168,0,0,0,1,0,0,0,0
green,0,1,1,410.2,1,2,1,169,0,0,0,1,0,0,0,0
green,0,1,1,505.2,1,2,1,170,0,0,0,1,0,0,0,0
green,0,1,1,438.1,1,2,1,171,0,0,0,1,0,0,0,0
green,0,1,1,469.1,1,2,1,172,0,0,0,1,0,0,0,0
red,1,1,0,444.1,1,2,0,173,0,0,0,1,0,0,0,0
red,1,1,0,501.4,1,2,0,174,0,0,0,1,0,0,0,0
green,0,1,1,922.1,1,2,1,175,0,0,0,1,0,0,0,0
red,1,1,0,375.4,1,2,0,176,0,0,0,1,0,0,0,0
red,1,1,0,481.9,1,2,0,177,0,0,0,1,0,0,0,0
green,0,1,1,439,1,2,1,178,0,0,0,1,0,0,0,0
red,0,1,0,428,0,2,0,179,0,0,0,1,0,0,0,0
green,1,1,1,331,0,2,1,180,0,0,0,1,0,0,0,0
green,0,1,1,537.9,1,2,1,181,0,0,0,1,0,0,0,0
red,1,1,0,479,1,2,0,182,0,0,0,1,0,0,0,0
red,1,1,0,525.8,1,2,0,183,0,0,0,1,0,0,0,0
green,0,1,1,476.9,1,2,1,184,0,0,0,1,0,0,0,0
red,1,1,0,418,1,2,0,185,0,0,0,1,0,0,0,0
red,1,1,0,874.9,1,2,0,186,0,0,0,1,0,0,0,0
red,1,1,0,469.7,1,2,0,187,0,0,0,1,0,0,0,0
red,0,1,0,490.8,0,2,0,188,0,0,0,1,0,0,0,0
red,1,1,0,495.8,1,2,0,189,0,0,0,1,0,0,0,0
green,1,1,1,415.2,0,2,1,190,0,0,0,1,0,0,0,0
green,0,1,1,403.8,1,2,1,191,0,0,0,1,0,0,0,0
red,1,1,0,624.7,1,2,0,192,0,0,0,1,0,0,0,0
green,1,0,0,567.8,0,2,0,193,0,0,0,1,0,0,0,0
red,1,1,0,412.9,1,2,0,194,0,0,0,1,0,0,0,0
green,1,1,1,409.7,0,2,1,195,0,0,0,1,0,0,0,0
green,0,1,1,526.7,1,2,1,196,0,0,0,1,0,0,0,0
green,0,1,1,491.8,1,2,1,197,0,0,0,1,0,0,0,0
red,1,1,0,544.6,1,2,0,198,0,0,0,1,0,0,0,0
green,0,1,1,461.6,1,2,1,199,0,0,0,1,0,0,0,0
green,0,1,1,498.5,1,2,1,200,0,0,0,1,0,0,0,0
green,1,1,1,553.6,0,2,1,201,0,0,0,1,0,0,0,0
red,1,1,0,646.5,1,2,0,202,0,0,0,1,0,0,0,0
green,0,1,1,485.5,1,2,1,203,0,0,0,1,0,0,0,0
green,1,1,1,538.5,0,2,1,204,0,0,0,1,0,0,0,0
green,1,1,1,399.5,0,2,1,205,0,0,0,1,0,0,0,0
red,0,1,0,492.4,0,2,0,206,0,0,0,1,0,0,0,0
red,0,1,0,465.5,0,2,0,207,0,0,0,1,0,0,0,0
red,0,1,0,368.5,0,2,0,208,0,0,0,1,0,0,0,0
green,1,1,1,461.4,0,2,1,209,0,0,0,1,0,0,0,0
green,1,1,1,490.5,0,2,1,210,0,0,0,1,0,0,0,0
green,1,1,1,311.5,0,2,1,211,0,0,0,1,0,0,0,0
red,0,1,0,532.6,0,2,0,212,0,0,0,1,0,0,0,0
red,0,1,0,515.5,0,2,0,213,0,0,0,1,0,0,0,0
red,0,1,0,400.5,0,2,0,214,0,0,0,1,0,0,0,0
red,0,1,0,405.4,0,2,0,215,0,0,0,1,0,0,0,0
red,0,1,0,428.5,0,2,0,216,0,0,0,1,0,0,0,0
red,0,1,0,379.6,0,2,0,217,0,0,0,1,0,0,0,0
green,1,1,1,480.4,0,2,1,218,0,0,0,1,0,0,0,0
green,1,1,1,335.3,0,2,1,219,0,0,0,1,0,0,0,0
green,1,1,1,364.4,0,2,1,220,0,0,0,1,0,0,0,0
red,0,1,0,465.4,0,2,0,221,0,0,0,1,0,0,0,0
green,0,1,1,532.4,1,2,1,222,0,0,0,1,0,0,0,0
green,1,1,1,351.3,0,2,1,223,0,0,0,1,0,0,0,0
green,1,1,1,382.6,0,2,1,224,0,0,0,1,0,0,0,0
red,0,1,0,507.3,0,2,0,225,0,0,0,1,0,0,0,0
red,1,1,0,570.2,1,2,0,226,0,0,0,1,0,0,0,0
green,1,1,1,481.2,0,2,1,227,0,0,0,1,0,0,0,0
red,0,1,0,384.3,0,2,0,228,0,0,0,1,0,0,0,0
green,1,1,1,471.1,0,2,1,229,0,0,0,1,0,0,0,0
green,0,1,1,516.1,1,2,1,230,0,0,0,1,0,0,0,0
green,1,1,1,549,0,2,1,231,0,0,0,1,0,0,0,0
green,1,1,1,458,0,2,1,232,0,0,0,1,0,0,0,0
green,1,1,1,355,0,2,1,233,0,0,0,1,0,0,0,0
red,0,1,0,416.3,0,2,0,234,0,0,0,1,0,0,0,0
red,0,1,0,397,0,2,0,235,0,0,0,1,0,0,0,0
red,1,1,0,483.9,1,2,0,236,0,0,0,1,0,0,0,0
green,0,1,1,561.1,1,2,1,237,0,0,0,1,0,0,0,0
red,0,1,0,518,0,2,0,238,0,0,0,1,0,0,0,0
red,1,1,0,466.9,1,2,0,239,0,0,0,1,0,0,0,0
red,0,1,0,375.9,0,2,0,240,0,0,0,1,0,0,0,0
green,0,1,1,447.1,1,2,1,241,0,0,0,1,0,0,0,0
green,0,1,1,355.9,1,2,1,242,0,0,0,1,0,0,0,0
red,0,1,0,457.1,0,2,0,243,0,0,0,1,0,0,0,0
red,1,1,0,561.8,1,2,0,244,0,0,0,1,0,0,0,0
green,0,1,1,382.9,1,2,1,245,0,0,0,1,0,0,0,0
green,0,1,1,470.1,1,2,1,246,0,0,0,1,0,0,0,0
red,1,1,0,522.9,1,2,0,247,0,0,0,1,0,0,0,0
green,0,1,1,433.8,1,2,1,248,0,0,0,1,0,0,0,0
red,1,1,0,494.9,1,2,0,249,0,0,0,1,0,0,0,0
red,0,1,0,461.8,0,2,0,250,0,0,0,1,0,0,0,0
green,0,1,1,394.8,1,2,1,251,0,0,0,1,0,0,0,0
green,0,1,1,337.8,1,2,1,252,0,0,0,1,0,0,0,0
red,1,1,0,422.8,1,2,0,253,0,0,0,1,0,0,0,0
green,1,1,1,395.7,0,2,1,254,0,0,0,1,0,0,0,0
green,0,1,1,544.8,1,2,1,255,0,0,0,1,0,0,0,0
green,0,1,1,447.7,1,2,1,256,0,0,0,1,0,0,0,0
red,1,1,0,444.7,1,2,0,257,0,0,0,1,0,0,0,0
green,0,1,1,351.6,1,2,1,258,0,0,0,1,0,0,0,0
red,1,1,0,484.6,1,2,0,259,0,0,0,1,0,0,0,0
red,1,1,0,497.6,1,2,0,260,0,0,0,1,0,0,0,0
green,0,1,1,464.7,1,2,1,261,0,0,0,1,0,0,0,0
green,1,1,1,631.7,0,2,1,262,0,0,0,1,0,0,0,0
red,0,1,0,464.6,0,2,0,263,0,0,0,1,0,0,0,0
red,1,1,0,639.5,1,2,0,264,0,0,0,1,0,0,0,0
red,1,1,0,462.5,1,2,0,265,0,0,0,1,0,0,0,0
red,1,1,0,433.5,1,2,0,266,0,0,0,1,0,0,0,0
red,1,1,0,518.5,1,2,0,267,0,0,0,1,0,0,0,0
green,1,1,1,491.5,0,2,1,268,0,0,0,1,0,0,0,0
green,0,1,1,472.5,1,2,1,269,0,0,0,1,0,0,0,0
red,1,1,0,421.5,1,2,0,270,0,0,0,1,0,0,0,0
red,0,1,0,514.4,0,2,0,271,0,0,0,1,0,0,0,0
red,1,1,0,449.3,1,2,0,272,0,0,0,1,0,0,0,0
green,0,1,1,366.3,1,2,1,273,0,0,0,1,0,0,0,0
red,1,1,0,461.4,1,2,0,274,0,0,0,1,0,0,0,0
green,0,1,1,370.2,1,2,1,275,0,0,0,1,0,0,0,0
red,1,1,0,441.3,1,2,0,276,0,0,0,1,0,0,0,0
green,0,1,1,544.5,1,2,1,277,0,0,0,1,0,0,0,0
green,1,1,1,397.3,0,2,1,278,0,0,0,1,0,0,0,0
red,1,1,0,482.2,1,2,0,279,0,0,0,1,0,0,0,0
green,0,1,1,391.2,1,2,1,280,0,0,0,1,0,0,0,0
red,1,1,0,476.3,1,2,0,281,0,0,0,1,0,0,0,0
green,0,1,1,667.2,1,2,1,282,0,0,0,1,0,0,0,0
red,0,1,0,694.2,0,2,0,283,0,0,0,1,0,0,0,0
green,0,1,1,573.2,1,2,1,284,0,0,0,1,0,0,0,0
green,1,1,1,618.1,0,2,1,285,0,0,0,1,0,0,0,0
red,0,1,0,569.1,0,2,0,286,0,0,0,1,0,0,0,0
green,1,1,1,416.2,0,2,1,287,0,0,0,1,0,0,0,0
red,0,1,0,853.3,0,2,0,288,0,0,0,1,0,0,0,0
green,0,1,1,532.1,1,2,1,289,0,0,0,1,0,0,0,0
red,0,1,0,409.1,0,2,0,290,0,0,0,1,0,0,0,0
green,1,1,1,382.1,0,2,1,291,0,0,0,1,0,0,0,0
green,0,1,1,515.1,1,2,1,292,0,0,0,1,0,0,0,0
red,0,1,0,464,0,2,0,293,0,0,0,1,0,0,0,0
red,1,1,0,735.1,1,2,0,294,0,0,0,1,0,0,0,0
red,0,1,0,388,0,2,0,295,0,0,0,1,0,0,0,0
green,1,1,1,441,0,2,1,296,0,0,0,1,0,0,0,0
green,1,1,1,410.1,0,2,1,297,0,0,0,1,0,0,0,0
red,0,1,0,455,0,2,0,298,0,0,0,1,0,0,0,0
red,1,1,0,492.1,1,2,0,299,0,0,0,1,0,0,0,0
red,0,1,0,409,0,2,0,300,0,0,0,1,0,0,0,0
green,1,1,1,430,0,2,1,301,0,0,0,1,0,0,0,0
red,0,1,0,482.9,0,2,0,302,0,0,0,1,0,0,0,0
green,1,1,1,431.9,0,2,1,303,0,0,0,1,0,0,0,0
green,1,1,1,596.8,0,2,1,304,0,0,0,1,0,0,0,0
red,0,1,0,337.9,0,2,0,305,0,0,0,1,0,0,0,0
green,1,1,1,440.9,0,2,1,306,0,0,0,1,0,0,0,0
red,0,1,0,375.9,0,2,0,307,0,0,0,1,0,0,0,0
red,0,1,0,502.8,0,2,0,308,0,0,0,1,0,0,0,0
red,0,1,0,379.8,0,2,0,309,0,0,0,1,0,0,0,0
red,0,1,0,336.8,0,2,0,310,0,0,0,1,0,0,0,0
red,0,1,0,357.8,0,2,0,311,0,0,0,1,0,0,0,0
green,1,1,1,426.8,0,2,1,312,0,0,0,1,0,0,0,0
green,1,1,1,335.8,0,2,1,313,0,0,0,1,0,0,0,0
green,1,1,1,308.7,0,2,1,314,0,0,0,1,0,0,0,0
red,0,1,0,499.7,0,2,0,315,0,0,0,1,0,0,0,0
green,1,1,1,410.7,0,2,1,316,0,0,0,1,0,0,0,0
green,1,1,1,387.9,0,2,1,317,0,0,0,1,0,0,0,0
green,1,1,1,392.8,0,2,1,318,0,0,0,1,0,0,0,0
green,1,1,1,431.7,0,2,1,319,0,0,0,1,0,0,0,0
red,1,1,0,554.7,1,2,0,320,0,0,0,1,0,0,0,0
red,0,1,0,741.9,0,3,0,321,0,0,0,0,1,0,0,0
green,0,1,1,499.5,1,3,1,322,0,0,0,0,1,0,0,0
green,1,1,1,352,0,3,1,323,0,0,0,0,1,0,0,0
red,0,1,0,478.9,0,3,0,324,0,0,0,0,1,0,0,0
green,0,1,1,467.8,1,3,1,325,0,0,0,0,1,0,0,0
red,0,1,0,378.8,0,3,0,326,0,0,0,0,1,0,0,0
green,1,1,1,365.8,0,3,1,327,0,0,0,0,1,0,0,0
green,1,1,1,458.8,0,3,1,328,0,0,0,0,1,0,0,0
red,0,1,0,417.8,0,3,0,329,0,0,0,0,1,0,0,0
red,0,1,0,464.8,0,3,0,330,0,0,0,0,1,0,0,0
green,1,1,1,407.6,0,3,1,331,0,0,0,0,1,0,0,0
green,1,1,1,414.6,0,3,1,332,0,0,0,0,1,0,0,0
red,1,1,0,411.7,1,3,0,333,0,0,0,0,1,0,0,0
red,0,1,0,464.9,0,3,0,334,0,0,0,0,1,0,0,0
red,0,1,0,417.6,0,3,0,335,0,0,0,0,1,0,0,0
green,1,1,1,392.6,0,3,1,336,0,0,0,0,1,0,0,0
green,1,1,1,381.5,0,3,1,337,0,0,0,0,1,0,0,0
red,0,1,0,396.5,0,3,0,338,0,0,0,0,1,0,0,0
green,1,1,1,401.5,0,3,1,339,0,0,0,0,1,0,0,0
red,0,1,0,342.5,0,3,0,340,0,0,0,0,1,0,0,0
green,1,1,1,459.5,0,3,1,341,0,0,0,0,1,0,0,0
red,0,1,0,362.4,0,3,0,342,0,0,0,0,1,0,0,0
green,1,1,1,393.5,0,3,1,343,0,0,0,0,1,0,0,0
red,0,1,0,428.4,0,3,0,344,0,0,0,0,1,0,0,0
red,0,1,0,401.3,0,3,0,345,0,0,0,0,1,0,0,0
green,1,1,1,406.3,0,3,1,346,0,0,0,0,1,0,0,0
green,1,1,1,347.6,0,3,1,347,0,0,0,0,1,0,0,0
red,0,1,0,408.4,0,3,0,348,0,0,0,0,1,0,0,0
red,1,0,1,341.4,1,3,1,349,0,0,0,0,1,0,0,0
red,0,1,0,522.5,0,3,0,350,0,0,0,0,1,0,0,0
red,0,1,0,427.4,0,3,0,351,0,0,0,0,1,0,0,0
green,0,1,1,480.3,1,3,1,352,0,0,0,0,1,0,0,0
green,0,1,1,407.3,1,3,1,353,0,0,0,0,1,0,0,0
red,1,1,0,396.3,1,3,0,354,0,0,0,0,1,0,0,0
red,1,1,0,555.3,1,3,0,355,0,0,0,0,1,0,0,0
green,1,1,1,394.3,0,3,1,356,0,0,0,0,1,0,0,0
green,1,1,1,447.4,0,3,1,357,0,0,0,0,1,0,0,0
green,1,1,1,388.3,0,3,1,358,0,0,0,0,1,0,0,0
green,1,1,1,401.3,0,3,1,359,0,0,0,0,1,0,0,0
red,0,1,0,422.3,0,3,0,360,0,0,0,0,1,0,0,0
red,1,1,0,563.2,1,3,0,361,0,0,0,0,1,0,0,0
green,0,1,1,456.3,1,3,1,362,0,0,0,0,1,0,0,0
red,0,1,0,455.3,0,3,0,363,0,0,0,0,1,0,0,0
red,1,1,0,486.1,1,3,0,364,0,0,0,0,1,0,0,0
green,0,1,1,437.2,1,3,1,365,0,0,0,0,1,0,0,0
green,0,1,1,474.2,1,3,1,366,0,0,0,0,1,0,0,0
red,1,1,0,457.5,1,3,0,367,0,0,0,0,1,0,0,0
green,1,1,1,462.4,0,3,1,368,0,0,0,0,1,0,0,0
red,0,1,0,413.1,0,3,0,369,0,0,0,0,1,0,0,0
green,0,1,1,484.1,1,3,1,370,0,0,0,0,1,0,0,0
green,1,1,1,573.1,0,3,1,371,0,0,0,0,1,0,0,0
green,0,1,1,458,1,3,1,372,0,0,0,0,1,0,0,0
red,1,1,0,433,1,3,0,373,0,0,0,0,1,0,0,0
red,1,1,0,406,1,3,0,374,0,0,0,0,1,0,0,0
red,1,1,0,349,1,3,0,375,0,0,0,0,1,0,0,0
red,1,1,0,322,1,3,0,376,0,0,0,0,1,0,0,0
green,0,1,1,485,1,3,1,377,0,0,0,0,1,0,0,0
