trial_index, block, condition, full_condition_code, RT, response_type, response_key, error_outlier
372, 3, T_Sinc, T_Sinc_URRR, 394.9, hit, 2, 0
373, 3, T_Sinc, T_Sinc_URRR, 566.3, hit, 2, 0
374, 3, T_Scon, T_Scon_UGLG, 453.8, hit, 1, 0
375, 3, T_Scon, T_Scon_DRRR, 441.2, hit, 2, 0
376, 3, T_Sinc, T_Sinc_DGLG, 456.7, hit, 1, 0
377, 3, T_Scon, T_Scon_UGLG, 612.1, hit, 1, 0
378, 3, T_Sinc, T_Sinc_URRR, 519.5, hit, 2, 0
379, 3, T_Sinc, T_Sinc_URRR, 967.0, hit, 2, 2
380, 3, T_Sinc, T_Sinc_DGLG, 586.4, hit, 1, 0
381, 3, T_Scon, T_Scon_DRRR, 837.9, hit, 2, 0
382, 3, T_Sinc, T_Sinc_DGLG, 529.3, hit, 1, 0
383, 3, T_Sinc, T_Sinc_DGLG, 604.8, hit, 1, 0
384, 3, T_Sinc, T_Sinc_DGLG, 376.1, hit, 1, 0
385, 3, T_Scon, T_Scon_DRRR, 423.6, hit, 2, 0
386, 3, T_Sinc, T_Sinc_URRR, 555.0, hit, 2, 0
387, 3, T_Scon, T_Scon_UGLG, 662.5, hit, 1, 0
388, 3, T_Sinc, T_Sinc_DGLG, 689.9, hit, 1, 0
389, 3, T_Sinc, T_Sinc_DGLG, 413.4, hit, 1, 0
390, 3, T_Scon, T_Scon_UGLG, 420.8, hit, 1, 0
391, 3, T_Scon, T_Scon_UGLG, 464.3, hit, 1, 0
392, 3, T_Sinc, T_Sinc_URRR, 507.6, hit, 2, 0
393, 3, T_Sinc, T_Sinc_URRR, 431.1, hit, 2, 0
394, 3, T_Sinc, T_Sinc_URRR, 370.5, hit, 2, 0
395, 3, T_Sinc, T_Sinc_DGLG, 370.0, hit, 1, 0
396, 3, T_Sinc, T_Sinc_DGLG, 393.4, hit, 1, 0
397, 3, T_Scon, T_Scon_UGLG, 504.6, hit, 1, 0
398, 3, T_Sinc, T_Sinc_URRR, 384.0, hit, 2, 0
399, 3, T_Scon, T_Scon_DRRR, 471.4, hit, 2, 0
400, 3, T_Scon, T_Scon_DRRR, 482.9, hit, 2, 0
401, 3, T_Sinc, T_Sinc_URRR, 422.3, hit, 2, 0
402, 3, T_Sinc, T_Sinc_DGLG, 341.8, hit, 1, 0
403, 3, T_Sinc, T_Sinc_URRR, 725.1, hit, 2, 0
404, 3, T_Sinc, T_Sinc_DGLG, 756.6, hit, 1, 0
405, 3, T_Sinc, T_Sinc_URRR, 816.0, hit, 2, 0
406, 3, T_Sinc, T_Sinc_DGLG, 675.5, hit, 1, 0
407, 3, T_Scon, T_Scon_DRRR, 610.9, hit, 2, 0
408, 3, T_Sinc, T_Sinc_DGLG, 470.4, hit, 1, 0
409, 3, T_Scon, T_Scon_DRRR, 385.8, hit, 2, 0
410, 3, T_Sinc, T_Sinc_DGLG, 357.3, hit, 1, 0
411, 3, T_Sinc, T_Sinc_URRR, 440.7, hit, 2, 0
412, 3, T_Scon, T_Scon_DRRR, 548.2, hit, 2, 0
413, 3, T_Sinc, T_Sinc_DGLG, 407.6, hit, 1, 0
414, 3, T_Scon, T_Scon_UGLG, 606.9, hit, 1, 0
415, 3, T_Sinc, T_Sinc_URRR, 538.4, hit, 2, 0
416, 3, T_Sinc, T_Sinc_DGLG, 653.8, hit, 1, 0
417, 3, T_Sinc, T_Sinc_DGLG, 609.3, hit, 1, 0
418, 3, T_Sinc, T_Sinc_URRR, 652.7, hit, 2, 0
419, 3, T_Sinc, T_Sinc_DGLG, 504.2, hit, 1, 0
420, 3, T_Scon, T_Scon_DRRR, 915.6, hit, 2, 0
421, 3, T_Sinc, T_Sinc_URRR, 499.1, hit, 2, 0
422, 3, T_Sinc, T_Sinc_URRR, 478.5, hit, 2, 0
423, 3, T_Sinc, T_Sinc_DGLG, 465.9, hit, 1, 0
424, 3, T_Sinc, T_Sinc_DGLG, 513.3, hit, 1, 0
425, 3, T_Sinc, T_Sinc_URRR, 752.8, hit, 2, 0
426, 3, T_Sinc, T_Sinc_DGLG, 292.2, hit, 1, 0
427, 3, T_Sinc, T_Sinc_DGLG, 895.7, hit, 1, 2
428, 3, T_Scon, T_Scon_DRRR, 543.1, hit, 2, 0
429, 3, T_Sinc, T_Sinc_URRR, 710.6, hit, 2, 0
430, 3, T_Sinc, T_Sinc_URRR, 466.0, hit, 2, 0
431, 3, T_Sinc, T_Sinc_DGLG, 457.5, hit, 1, 0
432, 3, T_Sinc, T_Sinc_URRR, 452.9, hit, 2, 0
433, 4, T_Sinc, T_Sinc_URRR, 491.2, hit, 2, 0
434, 4, T_Scon, T_Scon_DRRR, 422.6, hit, 2, 0
435, 4, T_Scon, T_Scon_UGLG, 394.0, hit, 1, 0
436, 4, T_Scon, T_Scon_UGLG, 349.4, hit, 1, 0
437, 4, T_Sinc, T_Sinc_DGLG, 588.8, hit, 1, 0
438, 4, T_Scon, T_Scon_UGLG, 428.3, hit, 1, 0
439, 4, T_Scon, T_Scon_UGLG, 331.7, hit, 1, 0
440, 4, T_Scon, T_Scon_DRRR, 395.2, hit, 2, 0
