stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
1,1,0,1123.7,0,93,0,20,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1088.6,0,94,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,941.8,1,95,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,568.7,0,96,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,543.7,0,97,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1300.7,1,98,1,20,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,597.6,0,99,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,804.6,0,100,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,673.5,0,101,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,902.4,0,102,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,835.7,0,103,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1400.3,1,104,0,20,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,813.4,0,105,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,740.4,0,106,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,913.4,0,107,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1134.4,1,108,0,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1283.4,1,109,1,20,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,776.3,0,110,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,917.3,0,111,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,732.2,0,112,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
