alpha,alpha_CCC,CCC,decay,corr_value,corr,corr_p,AIC,AIC_rl
0.43,0.58,0.04,0.42,-0.256850718,0.256850718,6.27E-16,11464.44391,11466.44391
0.74,0.75,0.1,0.33,-0.256849293,0.256849293,6.28E-16,11464.44467,11466.44467
0.92,0.68,0.34,0.15,-0.256839137,0.256839137,6.29E-16,11464.45003,11466.45003
0.38,0.76,0.49,0.15,-0.256663054,0.256663054,6.60E-16,11464.54296,11466.54296
0.74,0.28,0.94,0.28,-0.256578583,0.256578583,6.75E-16,11464.58751,11466.58751
0.58,0.46,0.68,0.04,-0.256568675,0.256568675,6.77E-16,11464.59274,11466.59274
0.63,0.61,0.48,0.43,-0.256468205,0.256468205,6.95E-16,11464.6457,11466.6457
0.16,0.61,0.18,0.23,-0.256345629,0.256345629,7.18E-16,11464.7103,11466.7103
0.44,0.46,0.33,0.46,-0.256305569,0.256305569,7.26E-16,11464.7314,11466.7314
0.28,0.48,0.64,0.42,-0.256271498,0.256271498,7.32E-16,11464.74934,11466.74934
0.32,0.77,0.38,0.25,-0.256212554,0.256212554,7.44E-16,11464.78038,11466.78038
0.69,0.84,0.59,0.37,-0.255994717,0.255994717,7.88E-16,11464.89501,11466.89501
0.63,0.79,0.23,0.22,-0.255982325,0.255982325,7.91E-16,11464.90153,11466.90153
0.77,0.62,1,0.33,-0.255779144,0.255779144,8.35E-16,11465.00834,11467.00834
0.94,0.56,0.21,0.4,-0.255769254,0.255769254,8.37E-16,11465.01354,11467.01354
0.53,0.74,0.16,0.09,-0.255745447,0.255745447,8.42E-16,11465.02605,11467.02605
0.95,0.6,0.32,0.44,-0.255701461,0.255701461,8.52E-16,11465.04916,11467.04916
0.69,0.57,0.17,0.46,-0.255541287,0.255541287,8.89E-16,11465.13327,11467.13327
0.39,0.65,1,0.47,-0.255531857,0.255531857,8.92E-16,11465.13822,11467.13822
0.29,0.58,0.54,0.37,-0.255431817,0.255431817,9.16E-16,11465.19071,11467.19071
0.86,0.81,0.03,0.24,-0.25513226,0.25513226,9.92E-16,11465.34778,11467.34778
0.48,0.81,0.2,0.19,-0.255109716,0.255109716,9.97E-16,11465.35959,11467.35959
0.72,0.7,0.81,0.06,-0.25506801,0.25506801,1.01E-15,11465.38143,11467.38143
0.54,0.81,0.04,0.21,-0.255043248,0.255043248,1.02E-15,11465.3944,11467.3944
0.31,0.17,0.41,0.24,-0.255033679,0.255033679,1.02E-15,11465.39942,11467.39942
0.84,0.77,0.11,0.36,-0.255031512,0.255031512,1.02E-15,11465.40055,11467.40055
0.26,0.66,0.66,0.36,-0.254765994,0.254765994,1.09E-15,11465.53953,11467.53953
0.29,0.46,0.54,0.47,-0.254741353,0.254741353,1.10E-15,11465.55242,11467.55242
0.19,0.53,0.83,0.35,-0.254712221,0.254712221,1.11E-15,11465.56765,11467.56765
0.47,0.82,0.1,0.27,-0.254657424,0.254657424,1.12E-15,11465.59631,11467.59631
0.31,0.76,0.85,0.13,-0.254424191,0.254424191,1.20E-15,11465.71819,11467.71819
0.89,0.8,0.68,0.17,-0.254420944,0.254420944,1.20E-15,11465.71988,11467.71988
0.2,0.66,0.35,0.15,-0.254263226,0.254263226,1.25E-15,11465.80223,11467.80223
0.65,0.58,0.68,0.01,-0.25423116,0.25423116,1.26E-15,11465.81897,11467.81897
0.17,0.65,0.78,0.3,-0.254203727,0.254203727,1.27E-15,11465.83328,11467.83328
0.18,0.22,0.58,0.22,-0.254139256,0.254139256,1.29E-15,11465.86692,11467.86692
0.75,0.7,0.36,0.04,-0.254131772,0.254131772,1.29E-15,11465.87082,11467.87082
0.4,0.09,0.81,0.45,-0.254121713,0.254121713,1.30E-15,11465.87607,11467.87607
0.57,0.38,0.53,0.42,-0.254037133,0.254037133,1.32E-15,11465.92018,11467.92018
0.96,0.69,0.33,0.39,-0.253933602,0.253933602,1.36E-15,11465.97414,11467.97414
0.78,0.49,0.96,0.11,-0.25389219,0.25389219,1.38E-15,11465.99572,11467.99572
0.28,0.76,0.23,0.28,-0.253700022,0.253700022,1.45E-15,11466.09581,11468.09581
0.27,0.31,0.03,0.03,-0.253647358,0.253647358,1.47E-15,11466.12323,11468.12323
0.91,0.81,0.39,0.31,-0.253432528,0.253432528,1.55E-15,11466.23499,11468.23499
0.53,0.21,0.24,0.35,-0.253326431,0.253326431,1.60E-15,11466.29015,11468.29015
0.2,0.4,0.6,0.37,-0.253263137,0.253263137,1.62E-15,11466.32304,11468.32304
0.19,0.35,0.49,0.2,-0.253209838,0.253209838,1.65E-15,11466.35073,11468.35073
0.76,0.8,0.46,0.36,-0.253124374,0.253124374,1.68E-15,11466.39512,11468.39512
0.42,0.55,0.83,0.51,-0.253031145,0.253031145,1.73E-15,11466.44352,11468.44352
0.16,0.79,0.75,0.31,-0.253030715,0.253030715,1.73E-15,11466.44374,11468.44374
0.6,0.72,0.41,0.42,-0.253013625,0.253013625,1.73E-15,11466.45261,11468.45261
0.51,0.83,0.18,0.24,-0.253001302,0.253001302,1.74E-15,11466.45901,11468.45901
0.3,0.5,0.83,0.48,-0.252982886,0.252982886,1.75E-15,11466.46856,11468.46856
0.46,0.87,0.47,0.19,-0.252975639,0.252975639,1.75E-15,11466.47232,11468.47232
0.61,0.65,0.32,0.46,-0.252942225,0.252942225,1.77E-15,11466.48966,11468.48966
0.6,0.84,0.12,0.22,-0.252882807,0.252882807,1.80E-15,11466.52049,11468.52049
0.92,0.46,0.79,0.06,-0.252802394,0.252802394,1.83E-15,11466.56219,11468.56219
0.18,0.71,0.79,0.18,-0.252772538,0.252772538,1.85E-15,11466.57767,11468.57767
0.25,0.84,0.71,0.43,-0.252741311,0.252741311,1.86E-15,11466.59386,11468.59386
0.69,0.82,0.12,0.31,-0.252670358,0.252670358,1.90E-15,11466.63063,11468.63063
0.72,0.18,0.99,0.44,-0.252549595,0.252549595,1.96E-15,11466.6932,11468.6932
0.5,0.25,0.44,0.1,-0.252535076,0.252535076,1.97E-15,11466.70071,11468.70071
0.88,0.44,0.34,0.24,-0.252352154,0.252352154,2.06E-15,11466.79541,11468.79541
0.45,0.43,0.26,0.52,-0.252328745,0.252328745,2.08E-15,11466.80752,11468.80752
0.67,0.28,0.01,0.5,-0.252287485,0.252287485,2.10E-15,11466.82887,11468.82887
0.85,0.77,0.89,0.22,-0.252244199,0.252244199,2.12E-15,11466.85126,11468.85126
0.22,0.33,0.97,0.11,-0.252242365,0.252242365,2.12E-15,11466.85221,11468.85221
0.83,0.98,0.83,0.18,-0.252235346,0.252235346,2.13E-15,11466.85584,11468.85584
0.91,0.79,0.39,0.1,-0.252209114,0.252209114,2.14E-15,11466.86941,11468.86941
0.38,0.52,0.62,0.52,-0.252204679,0.252204679,2.14E-15,11466.8717,11468.8717
0.84,0.84,0.84,0.18,-0.252139748,0.252139748,2.18E-15,11466.90527,11468.90527
0.69,0.5,0.25,0.54,-0.252055562,0.252055562,2.23E-15,11466.94879,11468.94879
0.46,0.88,0.48,0.18,-0.251921546,0.251921546,2.31E-15,11467.01802,11469.01802
0.79,0.47,0.75,0.22,-0.251904267,0.251904267,2.32E-15,11467.02694,11469.02694
0.25,0.64,0.42,0.35,-0.251817978,0.251817978,2.37E-15,11467.0715,11469.0715
0.32,0.85,0.49,0.22,-0.251746605,0.251746605,2.42E-15,11467.10834,11469.10834
0.45,0.81,0.6,0.08,-0.251668195,0.251668195,2.47E-15,11467.14879,11469.14879
0.4,0.78,0.23,0.29,-0.251486563,0.251486563,2.59E-15,11467.24246,11469.24246
0.65,0.41,0.83,0.04,-0.251472394,0.251472394,2.60E-15,11467.24976,11469.24976
0.83,0.69,0.9,0.28,-0.251471475,0.251471475,2.60E-15,11467.25023,11469.25023
0.68,0.45,0.89,0.46,-0.25108838,0.25108838,2.87E-15,11467.44752,11469.44752
0.7,0.25,0.74,0.06,-0.25102587,0.25102587,2.92E-15,11467.47967,11469.47967
0.79,0.81,0.18,0.1,-0.250836026,0.250836026,3.07E-15,11467.57729,11469.57729
0.28,0.4,0.81,0.01,-0.250771227,0.250771227,3.12E-15,11467.61058,11469.61058
0.48,0.93,0.52,0.37,-0.250751309,0.250751309,3.13E-15,11467.62082,11469.62082
0.27,0.85,0.13,0.16,-0.25074829,0.25074829,3.14E-15,11467.62237,11469.62237
0.61,0.81,0.49,0.47,-0.2507462,0.2507462,3.14E-15,11467.62344,11469.62344
0.65,0.83,0.34,0.11,-0.250735605,0.250735605,3.15E-15,11467.62888,11469.62888
0.44,0.87,0.63,0.59,-0.250651561,0.250651561,3.22E-15,11467.67205,11469.67205
0.53,0.78,0.57,0.04,-0.250623448,0.250623448,3.24E-15,11467.68649,11469.68649
