stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
1,1,0,367.6,0,212,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,494.7,0,213,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,451.6,0,214,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,320.5,0,215,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,389.6,0,216,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,370.6,0,217,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,377.6,0,218,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,320.4,0,219,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,517.5,1,220,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,410.5,0,221,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,373.5,0,222,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,652.5,0,223,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,505.4,0,224,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,358.6,0,225,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,411.3,0,226,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,418.3,0,227,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,487.4,0,228,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,492.4,0,229,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,499.2,1,230,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,432.3,0,231,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,421.3,0,232,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,342.1,0,233,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,483.2,0,234,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,380.1,0,235,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,507.2,0,236,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,538.2,1,237,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,473.1,0,238,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,372.1,0,239,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,763.1,0,240,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,440,1,241,1,80,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,397,0,242,1,80,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,506,1,243,0,80,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
